Urn,State,Seq
urn:cite:phoros:seqcommon.urn:cite:phoros:places.148,urn:cite:phoros:places.148,69
urn:cite:phoros:seqcommon.urn:cite:phoros:places.127,urn:cite:phoros:places.127,70
urn:cite:phoros:seqcommon.urn:cite:phoros:places.196,urn:cite:phoros:places.196,71
urn:cite:phoros:seqcommon.urn:cite:phoros:places.153,urn:cite:phoros:places.153,72
urn:cite:phoros:seqcommon.urn:cite:phoros:places.208,urn:cite:phoros:places.208,73
urn:cite:phoros:seqcommon.urn:cite:phoros:places.103,urn:cite:phoros:places.103,74
urn:cite:phoros:seqcommon.urn:cite:phoros:places.93,urn:cite:phoros:places.93,75
urn:cite:phoros:seqcommon.urn:cite:phoros:places.55,urn:cite:phoros:places.55,76
urn:cite:phoros:seqcommon.urn:cite:phoros:places.51,urn:cite:phoros:places.51,77
urn:cite:phoros:seqcommon.urn:cite:phoros:places.16,urn:cite:phoros:places.16,78
urn:cite:phoros:seqcommon.urn:cite:phoros:places.209,urn:cite:phoros:places.209,79
urn:cite:phoros:seqcommon.urn:cite:phoros:places.210,urn:cite:phoros:places.210,80
urn:cite:phoros:seqcommon.urn:cite:phoros:places.72,urn:cite:phoros:places.72,81
urn:cite:phoros:seqcommon.urn:cite:phoros:places.180,urn:cite:phoros:places.180,82
urn:cite:phoros:seqcommon.urn:cite:phoros:places.161,urn:cite:phoros:places.161,83
urn:cite:phoros:seqcommon.urn:cite:phoros:places.211,urn:cite:phoros:places.211,84
urn:cite:phoros:seqcommon.urn:cite:phoros:places.27,urn:cite:phoros:places.27,85
urn:cite:phoros:seqcommon.urn:cite:phoros:places.130,urn:cite:phoros:places.130,86
urn:cite:phoros:seqcommon.urn:cite:phoros:places.197,urn:cite:phoros:places.197,87
urn:cite:phoros:seqcommon.urn:cite:phoros:places.146,urn:cite:phoros:places.146,88
urn:cite:phoros:seqcommon.urn:cite:phoros:places.95,urn:cite:phoros:places.95,89
urn:cite:phoros:seqcommon.urn:cite:phoros:places.143,urn:cite:phoros:places.143,90
urn:cite:phoros:seqcommon.urn:cite:phoros:places.190,urn:cite:phoros:places.190,91
urn:cite:phoros:seqcommon.urn:cite:phoros:places.152,urn:cite:phoros:places.152,92
urn:cite:phoros:seqcommon.urn:cite:phoros:places.145,urn:cite:phoros:places.145,93
urn:cite:phoros:seqcommon.urn:cite:phoros:places.114,urn:cite:phoros:places.114,94
urn:cite:phoros:seqcommon.urn:cite:phoros:places.61,urn:cite:phoros:places.61,95
urn:cite:phoros:seqcommon.urn:cite:phoros:places.19,urn:cite:phoros:places.19,96
urn:cite:phoros:seqcommon.urn:cite:phoros:places.214,urn:cite:phoros:places.214,97
urn:cite:phoros:seqcommon.urn:cite:phoros:places.150,urn:cite:phoros:places.150,98
urn:cite:phoros:seqcommon.urn:cite:phoros:places.191,urn:cite:phoros:places.191,99
urn:cite:phoros:seqcommon.urn:cite:phoros:places.77,urn:cite:phoros:places.77,100
urn:cite:phoros:seqcommon.urn:cite:phoros:places.13,urn:cite:phoros:places.13,101
urn:cite:phoros:seqcommon.urn:cite:phoros:places.160,urn:cite:phoros:places.160,102
urn:cite:phoros:seqcommon.urn:cite:phoros:places.198,urn:cite:phoros:places.198,103
urn:cite:phoros:seqcommon.urn:cite:phoros:places.120,urn:cite:phoros:places.120,104
