ConfidenceRecord,PaymentRecord,NameConfidence,AmountConfidence,max,min
urn:cite:phoros:conflevel.374,urn:cite:phoros:payrec.374,,,,
urn:cite:phoros:conflevel.375,urn:cite:phoros:payrec.375,,,,
urn:cite:phoros:conflevel.376,urn:cite:phoros:payrec.376,,,,
urn:cite:phoros:conflevel.377,urn:cite:phoros:payrec.377,,,,
urn:cite:phoros:conflevel.378,urn:cite:phoros:payrec.378,,,,
urn:cite:phoros:conflevel.379,urn:cite:phoros:payrec.379,,,,
urn:cite:phoros:conflevel.380,urn:cite:phoros:payrec.380,,,,
urn:cite:phoros:conflevel.381,urn:cite:phoros:payrec.381,,,,
urn:cite:phoros:conflevel.382,urn:cite:phoros:payrec.382,,,,
urn:cite:phoros:conflevel.383,urn:cite:phoros:payrec.383,,,,
urn:cite:phoros:conflevel.384,urn:cite:phoros:payrec.384,,,,
urn:cite:phoros:conflevel.385,urn:cite:phoros:payrec.385,,,,
urn:cite:phoros:conflevel.386,urn:cite:phoros:payrec.386,,,,
urn:cite:phoros:conflevel.387,urn:cite:phoros:payrec.387,,,,
urn:cite:phoros:conflevel.388,urn:cite:phoros:payrec.388,,,,
urn:cite:phoros:conflevel.389,urn:cite:phoros:payrec.389,,,,
urn:cite:phoros:conflevel.390,urn:cite:phoros:payrec.390,,,,
urn:cite:phoros:conflevel.391,urn:cite:phoros:payrec.391,,,,
urn:cite:phoros:conflevel.392,urn:cite:phoros:payrec.392,,,,
urn:cite:phoros:conflevel.393,urn:cite:phoros:payrec.393,,,,
urn:cite:phoros:conflevel.394,urn:cite:phoros:payrec.394,,,,
urn:cite:phoros:conflevel.395,urn:cite:phoros:payrec.395,,,,
urn:cite:phoros:conflevel.396,urn:cite:phoros:payrec.396,,,,
urn:cite:phoros:conflevel.397,urn:cite:phoros:payrec.397,,,,
urn:cite:phoros:conflevel.398,urn:cite:phoros:payrec.398,,,,
urn:cite:phoros:conflevel.399,urn:cite:phoros:payrec.399,,,,
urn:cite:phoros:conflevel.400,urn:cite:phoros:payrec.400,,,,
urn:cite:phoros:conflevel.401,urn:cite:phoros:payrec.401,,,,
urn:cite:phoros:conflevel.402,urn:cite:phoros:payrec.402,,,,
urn:cite:phoros:conflevel.403,urn:cite:phoros:payrec.403,,,,
urn:cite:phoros:conflevel.404,urn:cite:phoros:payrec.404,,,,
urn:cite:phoros:conflevel.405,urn:cite:phoros:payrec.405,,,,
urn:cite:phoros:conflevel.406,urn:cite:phoros:payrec.406,,,,
urn:cite:phoros:conflevel.407,urn:cite:phoros:payrec.407,,,,
urn:cite:phoros:conflevel.408,urn:cite:phoros:payrec.408,,,,
urn:cite:phoros:conflevel.409,urn:cite:phoros:payrec.409,,,,
urn:cite:phoros:conflevel.410,urn:cite:phoros:payrec.410,,,,
urn:cite:phoros:conflevel.411,urn:cite:phoros:payrec.411,,,,
urn:cite:phoros:conflevel.412,urn:cite:phoros:payrec.412,,,,
urn:cite:phoros:conflevel.413,urn:cite:phoros:payrec.413,,,,
urn:cite:phoros:conflevel.414,urn:cite:phoros:payrec.414,,,,
urn:cite:phoros:conflevel.415,urn:cite:phoros:payrec.415,,,,
urn:cite:phoros:conflevel.416,urn:cite:phoros:payrec.416,,,,
urn:cite:phoros:conflevel.417,urn:cite:phoros:payrec.417,,,,
urn:cite:phoros:conflevel.418,urn:cite:phoros:payrec.418,,,,
urn:cite:phoros:conflevel.419,urn:cite:phoros:payrec.419,,,,
urn:cite:phoros:conflevel.420,urn:cite:phoros:payrec.420,,,,
urn:cite:phoros:conflevel.421,urn:cite:phoros:payrec.421,,,,
urn:cite:phoros:conflevel.422,urn:cite:phoros:payrec.422,,,,
urn:cite:phoros:conflevel.423,urn:cite:phoros:payrec.423,,,,
urn:cite:phoros:conflevel.424,urn:cite:phoros:payrec.424,,,,
urn:cite:phoros:conflevel.425,urn:cite:phoros:payrec.425,,,,
urn:cite:phoros:conflevel.426,urn:cite:phoros:payrec.426,,,,
urn:cite:phoros:conflevel.427,urn:cite:phoros:payrec.427,,,,
urn:cite:phoros:conflevel.428,urn:cite:phoros:payrec.428,,,,
urn:cite:phoros:conflevel.429,urn:cite:phoros:payrec.429,,,,
urn:cite:phoros:conflevel.430,urn:cite:phoros:payrec.430,,,,
urn:cite:phoros:conflevel.431,urn:cite:phoros:payrec.431,,,,
urn:cite:phoros:conflevel.432,urn:cite:phoros:payrec.432,,,,
urn:cite:phoros:conflevel.433,urn:cite:phoros:payrec.433,,,,
urn:cite:phoros:conflevel.434,urn:cite:phoros:payrec.434,,,,
urn:cite:phoros:conflevel.435,urn:cite:phoros:payrec.435,,,,
urn:cite:phoros:conflevel.436,urn:cite:phoros:payrec.436,,,,
urn:cite:phoros:conflevel.437,urn:cite:phoros:payrec.437,,,,
urn:cite:phoros:conflevel.438,urn:cite:phoros:payrec.438,,,,
urn:cite:phoros:conflevel.439,urn:cite:phoros:payrec.439,,,,
urn:cite:phoros:conflevel.440,urn:cite:phoros:payrec.440,,,,
urn:cite:phoros:conflevel.441,urn:cite:phoros:payrec.441,,,,
urn:cite:phoros:conflevel.442,urn:cite:phoros:payrec.442,,,,
urn:cite:phoros:conflevel.443,urn:cite:phoros:payrec.443,,,,
urn:cite:phoros:conflevel.444,urn:cite:phoros:payrec.444,,,,
urn:cite:phoros:conflevel.445,urn:cite:phoros:payrec.445,,,,
urn:cite:phoros:conflevel.446,urn:cite:phoros:payrec.446,,,,
urn:cite:phoros:conflevel.447,urn:cite:phoros:payrec.447,,,,
urn:cite:phoros:conflevel.448,urn:cite:phoros:payrec.448,,,,
urn:cite:phoros:conflevel.449,urn:cite:phoros:payrec.449,,,,
urn:cite:phoros:conflevel.450,urn:cite:phoros:payrec.450,,,,
urn:cite:phoros:conflevel.451,urn:cite:phoros:payrec.451,,,,
urn:cite:phoros:conflevel.452,urn:cite:phoros:payrec.452,,,,
urn:cite:phoros:conflevel.453,urn:cite:phoros:payrec.453,,,,
urn:cite:phoros:conflevel.454,urn:cite:phoros:payrec.454,,,,
urn:cite:phoros:conflevel.455,urn:cite:phoros:payrec.455,,,,
urn:cite:phoros:conflevel.456,urn:cite:phoros:payrec.456,,,,
urn:cite:phoros:conflevel.457,urn:cite:phoros:payrec.457,,,,
urn:cite:phoros:conflevel.458,urn:cite:phoros:payrec.458,,,,
urn:cite:phoros:conflevel.459,urn:cite:phoros:payrec.459,,,,
urn:cite:phoros:conflevel.460,urn:cite:phoros:payrec.460,,,,
urn:cite:phoros:conflevel.461,urn:cite:phoros:payrec.461,,,,
urn:cite:phoros:conflevel.462,urn:cite:phoros:payrec.462,,,,
urn:cite:phoros:conflevel.463,urn:cite:phoros:payrec.463,,,,
urn:cite:phoros:conflevel.464,urn:cite:phoros:payrec.464,,,,
urn:cite:phoros:conflevel.465,urn:cite:phoros:payrec.465,,,,
urn:cite:phoros:conflevel.466,urn:cite:phoros:payrec.466,,,,
urn:cite:phoros:conflevel.467,urn:cite:phoros:payrec.467,,,,
urn:cite:phoros:conflevel.468,urn:cite:phoros:payrec.468,,,,
urn:cite:phoros:conflevel.469,urn:cite:phoros:payrec.469,,,,
urn:cite:phoros:conflevel.470,urn:cite:phoros:payrec.470,,,,
urn:cite:phoros:conflevel.471,urn:cite:phoros:payrec.471,,,,
urn:cite:phoros:conflevel.472,urn:cite:phoros:payrec.472,,,,
urn:cite:phoros:conflevel.473,urn:cite:phoros:payrec.473,,,,
urn:cite:phoros:conflevel.474,urn:cite:phoros:payrec.474,,,,
urn:cite:phoros:conflevel.475,urn:cite:phoros:payrec.475,,,,
urn:cite:phoros:conflevel.476,urn:cite:phoros:payrec.476,,,,
urn:cite:phoros:conflevel.477,urn:cite:phoros:payrec.477,,,,
urn:cite:phoros:conflevel.478,urn:cite:phoros:payrec.478,,,,
urn:cite:phoros:conflevel.479,urn:cite:phoros:payrec.479,,,,
urn:cite:phoros:conflevel.480,urn:cite:phoros:payrec.480,,,,
urn:cite:phoros:conflevel.481,urn:cite:phoros:payrec.481,,,,
urn:cite:phoros:conflevel.482,urn:cite:phoros:payrec.482,,,,
urn:cite:phoros:conflevel.483,urn:cite:phoros:payrec.483,,,,
urn:cite:phoros:conflevel.484,urn:cite:phoros:payrec.484,,,,
urn:cite:phoros:conflevel.485,urn:cite:phoros:payrec.485,,,,
urn:cite:phoros:conflevel.486,urn:cite:phoros:payrec.486,,,,
urn:cite:phoros:conflevel.487,urn:cite:phoros:payrec.487,,,,
urn:cite:phoros:conflevel.488,urn:cite:phoros:payrec.488,,,,
urn:cite:phoros:conflevel.489,urn:cite:phoros:payrec.489,,,,
urn:cite:phoros:conflevel.490,urn:cite:phoros:payrec.490,,,,
urn:cite:phoros:conflevel.491,urn:cite:phoros:payrec.491,,,,
urn:cite:phoros:conflevel.492,urn:cite:phoros:payrec.492,,,,
urn:cite:phoros:conflevel.493,urn:cite:phoros:payrec.493,,,,
urn:cite:phoros:conflevel.494,urn:cite:phoros:payrec.494,,,,
urn:cite:phoros:conflevel.495,urn:cite:phoros:payrec.495,,,,
urn:cite:phoros:conflevel.496,urn:cite:phoros:payrec.496,,,,
urn:cite:phoros:conflevel.497,urn:cite:phoros:payrec.497,,,,
urn:cite:phoros:conflevel.498,urn:cite:phoros:payrec.498,,,,
urn:cite:phoros:conflevel.499,urn:cite:phoros:payrec.499,,,,
urn:cite:phoros:conflevel.500,urn:cite:phoros:payrec.500,,,,
urn:cite:phoros:conflevel.501,urn:cite:phoros:payrec.501,,,,
urn:cite:phoros:conflevel.502,urn:cite:phoros:payrec.502,,,,
urn:cite:phoros:conflevel.503,urn:cite:phoros:payrec.503,,,,
urn:cite:phoros:conflevel.504,urn:cite:phoros:payrec.504,,,,
urn:cite:phoros:conflevel.505,urn:cite:phoros:payrec.505,,,,
urn:cite:phoros:conflevel.506,urn:cite:phoros:payrec.506,,,,
urn:cite:phoros:conflevel.507,urn:cite:phoros:payrec.507,,,,
urn:cite:phoros:conflevel.508,urn:cite:phoros:payrec.508,,,,
urn:cite:phoros:conflevel.509,urn:cite:phoros:payrec.509,,,,
urn:cite:phoros:conflevel.510,urn:cite:phoros:payrec.510,,,,
urn:cite:phoros:conflevel.511,urn:cite:phoros:payrec.511,,,,
urn:cite:phoros:conflevel.512,urn:cite:phoros:payrec.512,,,,
urn:cite:phoros:conflevel.513,urn:cite:phoros:payrec.513,,,,
urn:cite:phoros:conflevel.514,urn:cite:phoros:payrec.514,,,,
urn:cite:phoros:conflevel.515,urn:cite:phoros:payrec.515,,,,
urn:cite:phoros:conflevel.516,urn:cite:phoros:payrec.516,,,,
urn:cite:phoros:conflevel.517,urn:cite:phoros:payrec.517,,,,
urn:cite:phoros:conflevel.518,urn:cite:phoros:payrec.518,,,,
urn:cite:phoros:conflevel.519,urn:cite:phoros:payrec.519,,,,
urn:cite:phoros:conflevel.520,urn:cite:phoros:payrec.520,,,,
urn:cite:phoros:conflevel.521,urn:cite:phoros:payrec.521,,,,
urn:cite:phoros:conflevel.522,urn:cite:phoros:payrec.522,,,,
urn:cite:phoros:conflevel.523,urn:cite:phoros:payrec.523,,,,
urn:cite:phoros:conflevel.524,urn:cite:phoros:payrec.524,,,,
urn:cite:phoros:conflevel.525,urn:cite:phoros:payrec.525,,,,
urn:cite:phoros:conflevel.526,urn:cite:phoros:payrec.526,,,,
urn:cite:phoros:conflevel.527,urn:cite:phoros:payrec.527,,,,
urn:cite:phoros:conflevel.528,urn:cite:phoros:payrec.528,,,,
urn:cite:phoros:conflevel.529,urn:cite:phoros:payrec.529,,,,
urn:cite:phoros:conflevel.530,urn:cite:phoros:payrec.530,,,,
urn:cite:phoros:conflevel.531,urn:cite:phoros:payrec.531,,,,
urn:cite:phoros:conflevel.532,urn:cite:phoros:payrec.532,,,,
urn:cite:phoros:conflevel.533,urn:cite:phoros:payrec.533,,,,
urn:cite:phoros:conflevel.534,urn:cite:phoros:payrec.534,,,,
urn:cite:phoros:conflevel.535,urn:cite:phoros:payrec.535,,,,
urn:cite:phoros:conflevel.536,urn:cite:phoros:payrec.536,,,,
urn:cite:phoros:conflevel.537,urn:cite:phoros:payrec.537,,,,
urn:cite:phoros:conflevel.538,urn:cite:phoros:payrec.538,,,,
urn:cite:phoros:conflevel.539,urn:cite:phoros:payrec.539,,,,
urn:cite:phoros:conflevel.540,urn:cite:phoros:payrec.540,,,,
urn:cite:phoros:conflevel.541,urn:cite:phoros:payrec.541,,,,
urn:cite:phoros:conflevel.542,urn:cite:phoros:payrec.542,,,,
urn:cite:phoros:conflevel.543,urn:cite:phoros:payrec.543,,,,
urn:cite:phoros:conflevel.544,urn:cite:phoros:payrec.544,,,,
urn:cite:phoros:conflevel.545,urn:cite:phoros:payrec.545,,,,
urn:cite:phoros:conflevel.546,urn:cite:phoros:payrec.546,,,,
urn:cite:phoros:conflevel.547,urn:cite:phoros:payrec.547,,,,
urn:cite:phoros:conflevel.548,urn:cite:phoros:payrec.548,,,,
urn:cite:phoros:conflevel.549,urn:cite:phoros:payrec.549,,,,
urn:cite:phoros:conflevel.550,urn:cite:phoros:payrec.550,,,,
urn:cite:phoros:conflevel.551,urn:cite:phoros:payrec.551,,,,
urn:cite:phoros:conflevel.552,urn:cite:phoros:payrec.552,,,,
urn:cite:phoros:conflevel.553,urn:cite:phoros:payrec.553,,,,
urn:cite:phoros:conflevel.554,urn:cite:phoros:payrec.554,,,,
urn:cite:phoros:conflevel.555,urn:cite:phoros:payrec.555,,,,
urn:cite:phoros:conflevel.556,urn:cite:phoros:payrec.556,,,,
urn:cite:phoros:conflevel.557,urn:cite:phoros:payrec.557,,,,
urn:cite:phoros:conflevel.558,urn:cite:phoros:payrec.558,,,,
urn:cite:phoros:conflevel.559,urn:cite:phoros:payrec.559,,,,
urn:cite:phoros:conflevel.560,urn:cite:phoros:payrec.560,,,,
urn:cite:phoros:conflevel.561,urn:cite:phoros:payrec.561,,,,
urn:cite:phoros:conflevel.562,urn:cite:phoros:payrec.562,,,,
urn:cite:phoros:conflevel.563,urn:cite:phoros:payrec.563,,,,
urn:cite:phoros:conflevel.564,urn:cite:phoros:payrec.564,,,,
urn:cite:phoros:conflevel.565,urn:cite:phoros:payrec.565,,,,
urn:cite:phoros:conflevel.566,urn:cite:phoros:payrec.566,,,,
urn:cite:phoros:conflevel.567,urn:cite:phoros:payrec.567,,,,
urn:cite:phoros:conflevel.568,urn:cite:phoros:payrec.568,,,,
urn:cite:phoros:conflevel.569,urn:cite:phoros:payrec.569,,,,
urn:cite:phoros:conflevel.570,urn:cite:phoros:payrec.570,,,,
urn:cite:phoros:conflevel.571,urn:cite:phoros:payrec.571,,,,
urn:cite:phoros:conflevel.572,urn:cite:phoros:payrec.572,,,,
urn:cite:phoros:conflevel.573,urn:cite:phoros:payrec.573,,,,
urn:cite:phoros:conflevel.574,urn:cite:phoros:payrec.574,,,,
urn:cite:phoros:conflevel.575,urn:cite:phoros:payrec.575,,,,
urn:cite:phoros:conflevel.576,urn:cite:phoros:payrec.576,,,,
urn:cite:phoros:conflevel.577,urn:cite:phoros:payrec.577,,,,
urn:cite:phoros:conflevel.578,urn:cite:phoros:payrec.578,,,,
urn:cite:phoros:conflevel.579,urn:cite:phoros:payrec.579,,,,
urn:cite:phoros:conflevel.580,urn:cite:phoros:payrec.580,,,,
urn:cite:phoros:conflevel.581,urn:cite:phoros:payrec.581,,,,
urn:cite:phoros:conflevel.582,urn:cite:phoros:payrec.582,,,,
urn:cite:phoros:conflevel.583,urn:cite:phoros:payrec.583,,,,
urn:cite:phoros:conflevel.584,urn:cite:phoros:payrec.584,,,,
urn:cite:phoros:conflevel.585,urn:cite:phoros:payrec.585,,,,
urn:cite:phoros:conflevel.586,urn:cite:phoros:payrec.586,,,,
urn:cite:phoros:conflevel.587,urn:cite:phoros:payrec.587,,,,
urn:cite:phoros:conflevel.588,urn:cite:phoros:payrec.588,,,,
urn:cite:phoros:conflevel.589,urn:cite:phoros:payrec.589,,,,
urn:cite:phoros:conflevel.590,urn:cite:phoros:payrec.590,,,,
urn:cite:phoros:conflevel.591,urn:cite:phoros:payrec.591,,,,
urn:cite:phoros:conflevel.592,urn:cite:phoros:payrec.592,,,,
urn:cite:phoros:conflevel.593,urn:cite:phoros:payrec.593,,,,
urn:cite:phoros:conflevel.594,urn:cite:phoros:payrec.594,,,,
urn:cite:phoros:conflevel.595,urn:cite:phoros:payrec.595,,,,
urn:cite:phoros:conflevel.596,urn:cite:phoros:payrec.596,,,,
urn:cite:phoros:conflevel.597,urn:cite:phoros:payrec.597,,,,
urn:cite:phoros:conflevel.598,urn:cite:phoros:payrec.598,,,,
urn:cite:phoros:conflevel.599,urn:cite:phoros:payrec.599,,,,
urn:cite:phoros:conflevel.600,urn:cite:phoros:payrec.600,,,,
urn:cite:phoros:conflevel.601,urn:cite:phoros:payrec.601,,,,
urn:cite:phoros:conflevel.602,urn:cite:phoros:payrec.602,,,,
urn:cite:phoros:conflevel.603,urn:cite:phoros:payrec.603,,,,
urn:cite:phoros:conflevel.604,urn:cite:phoros:payrec.604,,,,
urn:cite:phoros:conflevel.605,urn:cite:phoros:payrec.605,,,,
urn:cite:phoros:conflevel.606,urn:cite:phoros:payrec.606,,,,
urn:cite:phoros:conflevel.607,urn:cite:phoros:payrec.607,,,,
urn:cite:phoros:conflevel.608,urn:cite:phoros:payrec.608,,,,
urn:cite:phoros:conflevel.609,urn:cite:phoros:payrec.609,,,,
urn:cite:phoros:conflevel.610,urn:cite:phoros:payrec.610,,,,
urn:cite:phoros:conflevel.611,urn:cite:phoros:payrec.611,,,,
urn:cite:phoros:conflevel.612,urn:cite:phoros:payrec.612,,,,
urn:cite:phoros:conflevel.613,urn:cite:phoros:payrec.613,,,,
urn:cite:phoros:conflevel.614,urn:cite:phoros:payrec.614,,,,
urn:cite:phoros:conflevel.615,urn:cite:phoros:payrec.615,,,,
urn:cite:phoros:conflevel.616,urn:cite:phoros:payrec.616,,,,
urn:cite:phoros:conflevel.617,urn:cite:phoros:payrec.617,,,,
urn:cite:phoros:conflevel.618,urn:cite:phoros:payrec.618,,,,
urn:cite:phoros:conflevel.619,urn:cite:phoros:payrec.619,,,,
urn:cite:phoros:conflevel.620,urn:cite:phoros:payrec.620,,,,
urn:cite:phoros:conflevel.621,urn:cite:phoros:payrec.621,,,,
urn:cite:phoros:conflevel.622,urn:cite:phoros:payrec.622,,,,
urn:cite:phoros:conflevel.623,urn:cite:phoros:payrec.623,,,,
urn:cite:phoros:conflevel.624,urn:cite:phoros:payrec.624,,,,
urn:cite:phoros:conflevel.625,urn:cite:phoros:payrec.625,,,,
urn:cite:phoros:conflevel.626,urn:cite:phoros:payrec.626,,,,
urn:cite:phoros:conflevel.627,urn:cite:phoros:payrec.627,,,,
urn:cite:phoros:conflevel.628,urn:cite:phoros:payrec.628,,,,
urn:cite:phoros:conflevel.629,urn:cite:phoros:payrec.629,,,,
urn:cite:phoros:conflevel.630,urn:cite:phoros:payrec.630,,,,
urn:cite:phoros:conflevel.631,urn:cite:phoros:payrec.631,,,,
urn:cite:phoros:conflevel.632,urn:cite:phoros:payrec.632,,,,
urn:cite:phoros:conflevel.633,urn:cite:phoros:payrec.633,,,,
urn:cite:phoros:conflevel.634,urn:cite:phoros:payrec.634,,,,
urn:cite:phoros:conflevel.635,urn:cite:phoros:payrec.635,,,,
urn:cite:phoros:conflevel.636,urn:cite:phoros:payrec.636,,,,
urn:cite:phoros:conflevel.637,urn:cite:phoros:payrec.637,,,,
urn:cite:phoros:conflevel.638,urn:cite:phoros:payrec.638,,,,
urn:cite:phoros:conflevel.639,urn:cite:phoros:payrec.639,,,,
urn:cite:phoros:conflevel.640,urn:cite:phoros:payrec.640,,,,
urn:cite:phoros:conflevel.641,urn:cite:phoros:payrec.641,,,,
urn:cite:phoros:conflevel.642,urn:cite:phoros:payrec.642,,,,
urn:cite:phoros:conflevel.643,urn:cite:phoros:payrec.643,,,,
urn:cite:phoros:conflevel.644,urn:cite:phoros:payrec.644,,,,
urn:cite:phoros:conflevel.645,urn:cite:phoros:payrec.645,,,,
urn:cite:phoros:conflevel.646,urn:cite:phoros:payrec.646,,,,
urn:cite:phoros:conflevel.647,urn:cite:phoros:payrec.647,,,,
urn:cite:phoros:conflevel.648,urn:cite:phoros:payrec.648,,,,
urn:cite:phoros:conflevel.649,urn:cite:phoros:payrec.649,,,,
urn:cite:phoros:conflevel.650,urn:cite:phoros:payrec.650,,,,
urn:cite:phoros:conflevel.651,urn:cite:phoros:payrec.651,,,,
urn:cite:phoros:conflevel.652,urn:cite:phoros:payrec.652,,,,
urn:cite:phoros:conflevel.653,urn:cite:phoros:payrec.653,,,,
urn:cite:phoros:conflevel.654,urn:cite:phoros:payrec.654,,,,
urn:cite:phoros:conflevel.655,urn:cite:phoros:payrec.655,,,,
urn:cite:phoros:conflevel.656,urn:cite:phoros:payrec.656,,,,
urn:cite:phoros:conflevel.657,urn:cite:phoros:payrec.657,,,,
urn:cite:phoros:conflevel.658,urn:cite:phoros:payrec.658,,,,
urn:cite:phoros:conflevel.659,urn:cite:phoros:payrec.659,,,,
urn:cite:phoros:conflevel.660,urn:cite:phoros:payrec.660,,,,
urn:cite:phoros:conflevel.661,urn:cite:phoros:payrec.661,,,,
urn:cite:phoros:conflevel.662,urn:cite:phoros:payrec.662,,,,
urn:cite:phoros:conflevel.663,urn:cite:phoros:payrec.663,,,,
urn:cite:phoros:conflevel.664,urn:cite:phoros:payrec.664,,,,
urn:cite:phoros:conflevel.665,urn:cite:phoros:payrec.665,,,,
urn:cite:phoros:conflevel.666,urn:cite:phoros:payrec.666,,,,
urn:cite:phoros:conflevel.667,urn:cite:phoros:payrec.667,,,,
urn:cite:phoros:conflevel.668,urn:cite:phoros:payrec.668,,,,
urn:cite:phoros:conflevel.669,urn:cite:phoros:payrec.669,,,,
urn:cite:phoros:conflevel.670,urn:cite:phoros:payrec.670,,,,
urn:cite:phoros:conflevel.671,urn:cite:phoros:payrec.671,,,,
urn:cite:phoros:conflevel.672,urn:cite:phoros:payrec.672,,,,
urn:cite:phoros:conflevel.673,urn:cite:phoros:payrec.673,,,,
urn:cite:phoros:conflevel.674,urn:cite:phoros:payrec.674,,,,
urn:cite:phoros:conflevel.675,urn:cite:phoros:payrec.675,,,,
urn:cite:phoros:conflevel.676,urn:cite:phoros:payrec.676,,,,
urn:cite:phoros:conflevel.677,urn:cite:phoros:payrec.677,,,,
urn:cite:phoros:conflevel.678,urn:cite:phoros:payrec.678,,,,
urn:cite:phoros:conflevel.679,urn:cite:phoros:payrec.679,,,,
urn:cite:phoros:conflevel.680,urn:cite:phoros:payrec.680,,,,
urn:cite:phoros:conflevel.681,urn:cite:phoros:payrec.681,,,,
urn:cite:phoros:conflevel.682,urn:cite:phoros:payrec.682,,,,
urn:cite:phoros:conflevel.683,urn:cite:phoros:payrec.683,,,,
urn:cite:phoros:conflevel.684,urn:cite:phoros:payrec.684,,,,
urn:cite:phoros:conflevel.685,urn:cite:phoros:payrec.685,,,,
urn:cite:phoros:conflevel.686,urn:cite:phoros:payrec.686,,,,
urn:cite:phoros:conflevel.687,urn:cite:phoros:payrec.687,,,,
urn:cite:phoros:conflevel.688,urn:cite:phoros:payrec.688,,,,
urn:cite:phoros:conflevel.689,urn:cite:phoros:payrec.689,,,,
urn:cite:phoros:conflevel.690,urn:cite:phoros:payrec.690,,,,
urn:cite:phoros:conflevel.691,urn:cite:phoros:payrec.691,,,,
urn:cite:phoros:conflevel.692,urn:cite:phoros:payrec.692,,,,
urn:cite:phoros:conflevel.693,urn:cite:phoros:payrec.693,,,,
urn:cite:phoros:conflevel.694,urn:cite:phoros:payrec.694,,,,
urn:cite:phoros:conflevel.695,urn:cite:phoros:payrec.695,,,,
urn:cite:phoros:conflevel.696,urn:cite:phoros:payrec.696,,,,
urn:cite:phoros:conflevel.697,urn:cite:phoros:payrec.697,,,,
urn:cite:phoros:conflevel.698,urn:cite:phoros:payrec.698,,,,
urn:cite:phoros:conflevel.699,urn:cite:phoros:payrec.699,,,,
urn:cite:phoros:conflevel.700,urn:cite:phoros:payrec.700,,,,
urn:cite:phoros:conflevel.701,urn:cite:phoros:payrec.701,,,,
urn:cite:phoros:conflevel.702,urn:cite:phoros:payrec.702,,,,
urn:cite:phoros:conflevel.703,urn:cite:phoros:payrec.703,,,,
urn:cite:phoros:conflevel.704,urn:cite:phoros:payrec.704,,,,
urn:cite:phoros:conflevel.705,urn:cite:phoros:payrec.705,,,,
urn:cite:phoros:conflevel.706,urn:cite:phoros:payrec.706,,,,
urn:cite:phoros:conflevel.707,urn:cite:phoros:payrec.707,,,,
urn:cite:phoros:conflevel.708,urn:cite:phoros:payrec.708,,,,
urn:cite:phoros:conflevel.709,urn:cite:phoros:payrec.709,,,,
urn:cite:phoros:conflevel.710,urn:cite:phoros:payrec.710,,,,
urn:cite:phoros:conflevel.711,urn:cite:phoros:payrec.711,,,,
urn:cite:phoros:conflevel.712,urn:cite:phoros:payrec.712,,,,
urn:cite:phoros:conflevel.713,urn:cite:phoros:payrec.713,,,,
urn:cite:phoros:conflevel.714,urn:cite:phoros:payrec.714,,,,
urn:cite:phoros:conflevel.715,urn:cite:phoros:payrec.715,,,,
urn:cite:phoros:conflevel.716,urn:cite:phoros:payrec.716,,,,
urn:cite:phoros:conflevel.717,urn:cite:phoros:payrec.717,,,,
urn:cite:phoros:conflevel.718,urn:cite:phoros:payrec.718,,,,
urn:cite:phoros:conflevel.719,urn:cite:phoros:payrec.719,,,,
urn:cite:phoros:conflevel.720,urn:cite:phoros:payrec.720,,,,
urn:cite:phoros:conflevel.721,urn:cite:phoros:payrec.721,,,,
urn:cite:phoros:conflevel.722,urn:cite:phoros:payrec.722,,,,
urn:cite:phoros:conflevel.723,urn:cite:phoros:payrec.723,,,,
urn:cite:phoros:conflevel.724,urn:cite:phoros:payrec.724,,,,
urn:cite:phoros:conflevel.725,urn:cite:phoros:payrec.725,,,,
urn:cite:phoros:conflevel.726,urn:cite:phoros:payrec.726,,,,
urn:cite:phoros:conflevel.727,urn:cite:phoros:payrec.727,,,,
urn:cite:phoros:conflevel.728,urn:cite:phoros:payrec.728,,,,
urn:cite:phoros:conflevel.729,urn:cite:phoros:payrec.729,,,,
urn:cite:phoros:conflevel.730,urn:cite:phoros:payrec.730,,,,
urn:cite:phoros:conflevel.731,urn:cite:phoros:payrec.731,,,,
urn:cite:phoros:conflevel.732,urn:cite:phoros:payrec.732,,,,
urn:cite:phoros:conflevel.733,urn:cite:phoros:payrec.733,,,,
urn:cite:phoros:conflevel.734,urn:cite:phoros:payrec.734,,,,
urn:cite:phoros:conflevel.735,urn:cite:phoros:payrec.735,,,,
urn:cite:phoros:conflevel.736,urn:cite:phoros:payrec.736,,,,
urn:cite:phoros:conflevel.737,urn:cite:phoros:payrec.737,,,,
urn:cite:phoros:conflevel.738,urn:cite:phoros:payrec.738,,,,
urn:cite:phoros:conflevel.739,urn:cite:phoros:payrec.739,,,,
urn:cite:phoros:conflevel.740,urn:cite:phoros:payrec.740,,,,
urn:cite:phoros:conflevel.741,urn:cite:phoros:payrec.741,,,,
urn:cite:phoros:conflevel.742,urn:cite:phoros:payrec.742,,,,
urn:cite:phoros:conflevel.743,urn:cite:phoros:payrec.743,,,,
urn:cite:phoros:conflevel.744,urn:cite:phoros:payrec.744,,,,
urn:cite:phoros:conflevel.745,urn:cite:phoros:payrec.745,,,,
urn:cite:phoros:conflevel.746,urn:cite:phoros:payrec.746,,,,
urn:cite:phoros:conflevel.747,urn:cite:phoros:payrec.747,,,,
urn:cite:phoros:conflevel.748,urn:cite:phoros:payrec.748,,,,
urn:cite:phoros:conflevel.749,urn:cite:phoros:payrec.749,,,,
urn:cite:phoros:conflevel.750,urn:cite:phoros:payrec.750,,,,
