Urn,State,Seq
urn:cite:phoros:seqcommon.93,urn:cite:phoros:places.16,93
urn:cite:phoros:seqcommon.94,urn:cite:phoros:places.90,94
urn:cite:phoros:seqcommon.95,urn:cite:phoros:places.100,95
urn:cite:phoros:seqcommon.96,urn:cite:phoros:places.38,96
urn:cite:phoros:seqcommon.97,urn:cite:phoros:places.30,97
urn:cite:phoros:seqcommon.98,urn:cite:phoros:places.67,98
urn:cite:phoros:seqcommon.99,urn:cite:phoros:places.41,99
urn:cite:phoros:seqcommon.100,urn:cite:phoros:places.79,100
urn:cite:phoros:seqcommon.101,urn:cite:phoros:places.79,101
urn:cite:phoros:seqcommon.102,urn:cite:phoros:places.121,102
urn:cite:phoros:seqcommon.103,urn:cite:phoros:places.28,103
urn:cite:phoros:seqcommon.104,urn:cite:phoros:places.122,104
urn:cite:phoros:seqcommon.105,urn:cite:phoros:places.76,105
urn:cite:phoros:seqcommon.106,urn:cite:phoros:places.123,106
urn:cite:phoros:seqcommon.107,urn:cite:phoros:places.5,107
urn:cite:phoros:seqcommon.108,urn:cite:phoros:places.124,108
urn:cite:phoros:seqcommon.109,urn:cite:phoros:places.31,109
urn:cite:phoros:seqcommon.110,urn:cite:phoros:places.12,110
urn:cite:phoros:seqcommon.111,urn:cite:phoros:places.13,111
urn:cite:phoros:seqcommon.112,urn:cite:phoros:places.14urn:cite:phoros:places.15,112
urn:cite:phoros:seqcommon.113,urn:cite:phoros:places.15urn:cite:phoros:places.16,113
urn:cite:phoros:seqcommon.114,urn:cite:phoros:places.125,114
urn:cite:phoros:seqcommon.115,urn:cite:phoros:places.18,115
urn:cite:phoros:seqcommon.116,urn:cite:phoros:places.19,116
urn:cite:phoros:seqcommon.117,urn:cite:phoros:places.126,117
urn:cite:phoros:seqcommon.118,urn:cite:phoros:places.127,118
urn:cite:phoros:seqcommon.119,urn:cite:phoros:places.20,119
urn:cite:phoros:seqcommon.120,urn:cite:phoros:places.8,120
urn:cite:phoros:seqcommon.121,urn:cite:phoros:places.68,121
urn:cite:phoros:seqcommon.122,urn:cite:phoros:places.105,122
urn:cite:phoros:seqcommon.123,urn:cite:phoros:places.203,123
urn:cite:phoros:seqcommon.124,urn:cite:phoros:places.48,124
urn:cite:phoros:seqcommon.125,urn:cite:phoros:places.204,125
urn:cite:phoros:seqcommon.126,urn:cite:phoros:places.32,126
urn:cite:phoros:seqcommon.127,urn:cite:phoros:places.8,127
urn:cite:phoros:seqcommon.128,urn:cite:phoros:places.46,128
urn:cite:phoros:seqcommon.129,urn:cite:phoros:places.21,129
urn:cite:phoros:seqcommon.130,urn:cite:phoros:places.22,130
urn:cite:phoros:seqcommon.131,urn:cite:phoros:places.92,131
