Payment,TextPassage,TextContent,Sequence,Year,Place,Obols,ChangeStatus,ChangeAmount
urn:cite:phoros:payrec.175,urn:cts:phoros:stele1.year3:front.2.6,ΣΚΑΦΣΑΙΟΙ,175,3,urn:cite:phoros:places.113,100,same,0
urn:cite:phoros:payrec.176,urn:cts:phoros:stele1.year3:front.2.7,ΜΥΚΟΝΙΟΙ,176,3,urn:cite:phoros:places.114,900,same,0
urn:cite:phoros:payrec.179,urn:cts:phoros:stele1.year3:front.2.11,ΜΑΡΟΝΙΤΑΙ,179,3,urn:cite:phoros:places.32,900,same,0
urn:cite:phoros:payrec.180,urn:cts:phoros:stele1.year3:front.2.12,ΣΑΜΟΘΡΑΙΚΕΣ,180,3,urn:cite:phoros:places.93,4800,up,3000
urn:cite:phoros:payrec.181,urn:cts:phoros:stele1.year3:front.2.28,ΜΙΛΕΣΙΟΙ,181,3,urn:cite:phoros:places.117,,,
urn:cite:phoros:payrec.182,urn:cts:phoros:stele1.year3:front.2.29,ΛΑΤΜΙΟΙ,182,3,urn:cite:phoros:places.99,600,same,0
urn:cite:phoros:payrec.183,urn:cts:phoros:stele1.year3:front.2.30,ΜΥΕΣΣΙΟΙ,183,3,urn:cite:phoros:places.119,900,same,0
urn:cite:phoros:payrec.184,urn:cts:phoros:stele1.year3:front.2.31,ΧΕΡΣΟΝΕΣΙΤΑΙ,184,3,urn:cite:phoros:places.164,1080,same,0
urn:cite:phoros:payrec.185,urn:cts:phoros:stele1.year3:front.3.2,ΒΕΡΥΣΙΟΙ,185,3,urn:cite:phoros:places.75,100,same,0
urn:cite:phoros:payrec.186,urn:cts:phoros:stele1.year3:front.3.3,ΗΥΠΟΤΕΙΙΔΕΙ,186,3,urn:cite:phoros:places.75,,,
urn:cite:phoros:payrec.187,urn:cts:phoros:stele1.year3:front.3.4,ΕΛΑΥΤΑΙ,187,3,urn:cite:phoros:places.3,100,same,0
urn:cite:phoros:payrec.188,urn:cts:phoros:stele1.year3:front.3.5,ΠΕΠΑΡΕΘΙΟΙ,188,3,urn:cite:phoros:places.22,1800,same,0
urn:cite:phoros:payrec.189,urn:cts:phoros:stele1.year3:front.3.6,ΝΕΑΝΔΡΕΙΑ,189,3,urn:cite:phoros:places.36,200,same,0
urn:cite:phoros:payrec.190,urn:cts:phoros:stele1.year3:front.3.7,ΜΥΡΙΝΑΙΟΙ,190,3,urn:cite:phoros:places.120,600,same,0
urn:cite:phoros:payrec.191,urn:cts:phoros:stele1.year3:front.3.8,ΑΛΙΚΑΡΝΑΣΣΕΣ,191,3,urn:cite:phoros:places.38,1000,same,0
urn:cite:phoros:payrec.192,urn:cts:phoros:stele1.year3:front.3.9,ΚΥΛΛΑΝΔΙΟΙ,192,3,urn:cite:phoros:places.67,1200,same,0
urn:cite:phoros:payrec.193,urn:cts:phoros:stele1.year3:front.3.10,ΚΥΡΒΙΣΣΟΣ,193,3,urn:cite:phoros:places.41,200,same,0
urn:cite:phoros:payrec.194,urn:cts:phoros:stele1.year3:front.3.24,ΔΑΣΚΥΛΕΙΟΝ,194,3,urn:cite:phoros:places.79,50,same,0
urn:cite:phoros:payrec.195,urn:cts:phoros:stele1.year3:front.3.25,ΕΝΤΕΙΠΡΟΠΟΝΤΙΔΙ,195,3,urn:cite:phoros:places.79,,,
urn:cite:phoros:payrec.196,urn:cts:phoros:stele1.year3:front.3.26,ΑΘΕΝΑΙΔΙΑΔΕΣ,196,3,urn:cite:phoros:places.121,200,same,0
urn:cite:phoros:payrec.197,urn:cts:phoros:stele1.year3:front.3.28,ΛΙΝΔΙΟΝΟΙΙΑΤΑΙ,197,3,urn:cite:phoros:places.28,330,same,0
urn:cite:phoros:payrec.198,urn:cts:phoros:stele1.year3:front.3.29,ΑΛΟΠΕΚΟΝΝΕΣΙΟΙ,198,3,urn:cite:phoros:places.122,,,
urn:cite:phoros:payrec.199,urn:cts:phoros:stele1.year3:front.3.31,ΑΥΛΙΑΤΑΙΚΑΡΕΣ,199,3,urn:cite:phoros:places.76,50,same,0
urn:cite:phoros:payrec.200,urn:cts:phoros:stele1.year3:front.4.2,ΠΕΡΚΟΣΙΟΙ,200,3,urn:cite:phoros:places.123,100,same,0
urn:cite:phoros:payrec.201,urn:cts:phoros:stele1.year3:front.4.3,ΑΙΝΙΟΙ,201,3,urn:cite:phoros:places.5,7200,same,0
urn:cite:phoros:payrec.202,urn:cts:phoros:stele1.year3:front.4.4,ΝΙΣΥΡΙΟΙ,202,3,urn:cite:phoros:places.124,900,same,0
urn:cite:phoros:payrec.203,urn:cts:phoros:stele1.year3:front.4.5,ΜΑΙΑΝΔΡΙΟΙ,203,3,urn:cite:phoros:places.31,400,same,0
urn:cite:phoros:payrec.204,urn:cts:phoros:stele1.year3:front.4.7,ΘΥΣΣΙΟΙ,204,3,urn:cite:phoros:places.12,400,same,0
urn:cite:phoros:payrec.205,urn:cts:phoros:stele1.year3:front.4.8,ΚΝΙΔΙΟΙ,205,3,urn:cite:phoros:places.125,1800,same,0
urn:cite:phoros:payrec.206,urn:cts:phoros:stele1.year3:front.4.9,ΧΕΡΣΟΝΕΣΙΟΙ,206,3,urn:cite:phoros:places.18,1800,down,9000
urn:cite:phoros:payrec.207,urn:cts:phoros:stele1.year3:front.4.10,ΠΥΡΝΙΟΙ,207,3,urn:cite:phoros:places.126,100,same,0
urn:cite:phoros:payrec.208,urn:cts:phoros:stele1.year3:front.4.11,ΠΡΙΑΠΕΣ,208,3,urn:cite:phoros:places.127,50,same,0
urn:cite:phoros:payrec.209,urn:cts:phoros:stele1.year3:front.4.12,ΚΑΜΕΡΕΣ,209,3,urn:cite:phoros:places.20,5400,same,0
urn:cite:phoros:payrec.210,urn:cts:phoros:stele1.year3:front.4.13,ΙΕΛΥΣΙΟΙ,210,3,urn:cite:phoros:places.128,6000,same,0
urn:cite:phoros:payrec.211,urn:cts:phoros:stele1.year3:front.4.14,ΛΙΝΔΙΟΙ,211,3,urn:cite:phoros:places.133,5070,same,0
urn:cite:phoros:payrec.212,urn:cts:phoros:stele1.year3:front.4.15,ΣΤΟΛΙΟΙ,212,3,urn:cite:phoros:places.58,,,
urn:cite:phoros:payrec.213,urn:cts:phoros:stele1.year3:front.4.17,ΠΡΟΚΟΝΝΕΣ ΙΟΙ,213,3,urn:cite:phoros:places.129,,,
urn:cite:phoros:payrec.214,urn:cts:phoros:stele1.year3:front.4.24,ΚΑΣΟΛΑΒΕΣ,214,3,urn:cite:phoros:places.50,250,same,0
urn:cite:phoros:payrec.215,urn:cts:phoros:stele1.year3:front.4.25,ΛΕΦΣΙΜΑΝΙΟΙ,215,3,urn:cite:phoros:places.83,150,up,47
urn:cite:phoros:payrec.216,urn:cts:phoros:stele1.year3:front.4.26,ΣΠΑΡΤΟΛΙΟΙ,216,3,urn:cite:phoros:places.26,1200,same,0
urn:cite:phoros:payrec.217,urn:cts:phoros:stele1.year3:front.4.27,ΣΚΑΦΣΙΟΙ,217,3,urn:cite:phoros:places.131,600,same,0
urn:cite:phoros:payrec.218,urn:cts:phoros:stele1.year3:front.4.28,ΑΖΕΙΟΙ,218,3,urn:cite:phoros:places.132,40,same,0
urn:cite:phoros:payrec.219,urn:cts:phoros:stele1.year3:front.4.29,ΒΕΡΓΑΙΟΙ,219,3,urn:cite:phoros:places.133,288,down,4782
urn:cite:phoros:payrec.220,urn:cts:phoros:stele1.year3:front.4.30,ΤΥΡΟΔΙΖΑΙ,220,3,urn:cite:phoros:places.134,100,same,0
urn:cite:phoros:payrec.221,urn:cts:phoros:stele1.year3:front.4.31,ΣΥΡΙΟΙ,221,3,urn:cite:phoros:places.135,150,same,0
urn:cite:phoros:payrec.222,urn:cts:phoros:stele1.year3:front.5.2,ΚΥΜΑΙΟΙ,222,3,urn:cite:phoros:places.136,7200,same,0
urn:cite:phoros:payrec.223,urn:cts:phoros:stele1.year3:front.5.3,ΠΕΡΙΝΘΙΟΙ,223,3,urn:cite:phoros:places.137,100,same,0
urn:cite:phoros:payrec.224,urn:cts:phoros:stele1.year3:front.5.4,ΦΟΚΑΙΕΣ,224,3,urn:cite:phoros:places.138,1800,same,0
urn:cite:phoros:payrec.225,urn:cts:phoros:stele1.year3:front.5.5,ΑΙΓΙΝΕΤΑΙ,225,3,urn:cite:phoros:places.80,18000,up,15000
urn:cite:phoros:payrec.226,urn:cts:phoros:stele1.year3:front.5.6,ΘΕΡΜΑΙΟΙ,226,3,urn:cite:phoros:places.8,50,same,0
urn:cite:phoros:payrec.227,urn:cts:phoros:stele1.year3:front.5.7,ΕΝΙΚΑΡΟΙ,227,3,urn:cite:phoros:places.8,,,
urn:cite:phoros:payrec.228,urn:cts:phoros:stele1.year3:front.5.8,ΝΑΧΣΙΑΤΑΙ,228,3,urn:cite:phoros:places.6,100,same,0
urn:cite:phoros:payrec.229,urn:cts:phoros:stele1.year3:front.5.9,ΤΕΡΜΕΡΕΣ,229,3,urn:cite:phoros:places.48,1500,same,0
urn:cite:phoros:payrec.230,urn:cts:phoros:stele1.year3:front.5.10,ΚΟΛΟΦΟΝΙΤΑΙ,230,3,urn:cite:phoros:places.23,1800,same,0
urn:cite:phoros:payrec.231,urn:cts:phoros:stele1.year3:front.5.11,ΝΟΤΙΕΣ,231,3,urn:cite:phoros:places.24,200,same,0
urn:cite:phoros:payrec.232,urn:cts:phoros:stele1.year3:front.5.12,ΣΑΜΒΑΚΤΥΣ,232,3,urn:cite:phoros:places.17,600,down,40
urn:cite:phoros:payrec.233,urn:cts:phoros:stele1.year3:front.5.13,ΕΦΕΣΙΟΙ,233,3,urn:cite:phoros:places.4,4500,same,0
urn:cite:phoros:payrec.234,urn:cts:phoros:stele1.year3:front.5.14,ΚΑΡΒΑΣΥΑΝΔΕΣ,234,3,urn:cite:phoros:places.46,100,same,0
urn:cite:phoros:payrec.235,urn:cts:phoros:stele1.year3:front.5.15,ΚΑΥΝΙΟΙ,235,3,urn:cite:phoros:places.110,300,same,0
urn:cite:phoros:payrec.236,urn:cts:phoros:stele1.year3:front.5.16,ΚΡΥΕΣ,236,3,urn:cite:phoros:places.21,200,same,0
urn:cite:phoros:payrec.237,urn:cts:phoros:stele1.year3:front.5.17,ΗΑΒΔΕΡΙΤΑΙ,237,3,urn:cite:phoros:places.52,9000,up,1288
urn:cite:phoros:payrec.238,urn:cts:phoros:stele1.year3:front.5.18,ΜΥΝΔΙΟΙ,238,3,urn:cite:phoros:places.96,50,same,0
urn:cite:phoros:payrec.239,urn:cts:phoros:stele1.year3:front.5.19,ΧΑΛΧΕΔΟ ΝΙΟΙ,239,3,urn:cite:phoros:places.115,4501,same,0
urn:cite:phoros:payrec.240,urn:cts:phoros:stele1.year3:front.5.20,ΘΑΣΙΟΙ,240,3,urn:cite:phoros:places.61,1800,same,0
urn:cite:phoros:payrec.241,urn:cts:phoros:stele1.year3:front.5.21,ΠΑΙΣΕΝΟΙ,241,3,urn:cite:phoros:places.116,100,same,0
urn:cite:phoros:payrec.242,urn:cts:phoros:stele1.year3:front.5.22,ΓΑΡΓΑΡΕΣ,242,3,urn:cite:phoros:places.118,450,same,0
urn:cite:phoros:payrec.243,urn:cts:phoros:stele1.year3:front.5.23,ΣΙΝΓΙΟΙ,243,3,urn:cite:phoros:places.60,2400,same,0
urn:cite:phoros:payrec.244,urn:cts:phoros:stele1.year3:front.5.25,ΑΙΝΙΑΤΑΙ,244,3,urn:cite:phoros:places.5,1800,down,5400
urn:cite:phoros:payrec.245,urn:cts:phoros:stele1.year3:front.5.26,ΠΙΤΑΝΑΙΟΙ,245,3,urn:cite:phoros:places.11,100,same,0
urn:cite:phoros:payrec.246,urn:cts:phoros:stele1.year3:front.5.27,ΓΡΥΝΕΙΕΣ,246,3,urn:cite:phoros:places.97,100,same,0
urn:cite:phoros:payrec.247,urn:cts:phoros:stele1.year3:front.5.28,ΔΑΥΝΙΟΤΕΙΧΙΤΑΙ,247,3,urn:cite:phoros:places.130,100,same,0
urn:cite:phoros:payrec.248,urn:cts:phoros:stele1.year3:front.5.29,ΒΥΖΑΝΤΙΟΙ,248,3,urn:cite:phoros:places.139,9000,same,0
urn:cite:phoros:payrec.249,urn:cts:phoros:stele1.year3:front.5.30,ΚΥΖΙΚΕΝΟΙ,249,3,urn:cite:phoros:places.140,,,
urn:cite:phoros:payrec.250,urn:cts:phoros:stele1.year3:front.5.31,ΠΕΛΕΙΑΤΑΙ,250,3,urn:cite:phoros:places.98,,,
urn:cite:phoros:payrec.251,urn:cts:phoros:stele1.year4:front.1.2,ΦΑΣΕΛΙΤΑΙ,251,4,urn:cite:phoros:places.47,3600,same,0
urn:cite:phoros:payrec.252,urn:cts:phoros:stele1.year4:front.1.3,ΣΚΙΟΝΑΙ ΟΙ,252,4,1,3600,same,0
urn:cite:phoros:payrec.253,urn:cts:phoros:stele1.year4:front.1.4,ΘΡΑ ΜΒΑΙΟΙ,253,4,1,,,
urn:cite:phoros:payrec.254,urn:cts:phoros:stele1.year4:front.1.5,ΑΦΥΤΑΙΟΙ,254,4,urn:cite:phoros:places.105,1800,same,0
urn:cite:phoros:payrec.255,urn:cts:phoros:stele1.year4:front.1.6,ΑΙΓΑΝΤΙΟΙ,255,4,urn:cite:phoros:places.143,300,same,0
urn:cite:phoros:payrec.256,urn:cts:phoros:stele1.year4:front.1.7,ΜΕΝΔΑΙΟΙ,256,4,urn:cite:phoros:places.112,4800,same,0
urn:cite:phoros:payrec.257,urn:cts:phoros:stele1.year4:front.1.8,ΣΚΑΦΣΑΙΟΙ,257,4,urn:cite:phoros:places.131,100,down,500
urn:cite:phoros:payrec.258,urn:cts:phoros:stele1.year4:front.1.9,ΝΕΟΠΟΛΙΤΑΙ,258,4,urn:cite:phoros:places.144,300,same,0
urn:cite:phoros:payrec.259,urn:cts:phoros:stele1.year4:front.1.10,ΕΚΠΑΛΛΕΝΕΣ,259,4,urn:cite:phoros:places.144,,,
urn:cite:phoros:payrec.260,urn:cts:phoros:stele1.year4:front.1.11,ΜΥΚΟΝΙΟΙ,260,4,urn:cite:phoros:places.114,900,same,0
urn:cite:phoros:payrec.261,urn:cts:phoros:stele1.year4:front.1.12,ΚΑΣΟΛΑΒΕΣ,261,4,urn:cite:phoros:places.50,250,same,0
urn:cite:phoros:payrec.262,urn:cts:phoros:stele1.year4:front.1.13,ΛΕΦΣΙΜΑΝ ΙΟΙ,262,4,urn:cite:phoros:places.83,150,up,47
urn:cite:phoros:payrec.263,urn:cts:phoros:stele1.year4:front.1.14,ΚΕΔΡΙΕΤΑΙ,263,4,urn:cite:phoros:places.64,300,same,0
urn:cite:phoros:payrec.264,urn:cts:phoros:stele1.year4:front.1.15,ΚΝΙΔΙΟΙ,264,4,urn:cite:phoros:places.125,1800,same,0
urn:cite:phoros:payrec.265,urn:cts:phoros:stele1.year4:front.1.16,ΧΕΡΡΟΝΕΣΙΤΑΙ,265,4,urn:cite:phoros:places.18,1800,down,9000
urn:cite:phoros:payrec.266,urn:cts:phoros:stele1.year4:front.1.17,ΠΥΡΝΙΟΙ,266,4,urn:cite:phoros:places.126,100,same,0
urn:cite:phoros:payrec.267,urn:cts:phoros:stele1.year4:front.1.18,ΚΑΥΝΙΟΙ,267,4,urn:cite:phoros:places.110,300,same,0
urn:cite:phoros:payrec.268,urn:cts:phoros:stele1.year4:front.1.19,ΑΝΔΡΙΟΙ,268,4,urn:cite:phoros:places.145,7200,same,0
urn:cite:phoros:payrec.269,urn:cts:phoros:stele1.year4:front.1.20,ΣΕΡΙΦΙΟΙ,269,4,urn:cite:phoros:places.146,1200,same,0
urn:cite:phoros:payrec.270,urn:cts:phoros:stele1.year4:front.1.21,ΚΟΡΕΣΙΟΙ,270,4,urn:cite:phoros:places.147,1350,same,0
urn:cite:phoros:payrec.271,urn:cts:phoros:stele1.year4:front.1.22,ΡΕΝΑΙΕΣ,271,4,urn:cite:phoros:places.148,100,same,0
urn:cite:phoros:payrec.272,urn:cts:phoros:stele1.year4:front.1.23,ΚΑΡΥΣΤΙΟΙ,272,4,urn:cite:phoros:places.149,4500,same,0
urn:cite:phoros:payrec.273,urn:cts:phoros:stele1.year4:front.1.24,ΓΡΥΝΧΕΣ,273,4,urn:cite:phoros:places.150,100,same,0
urn:cite:phoros:payrec.274,urn:cts:phoros:stele1.year4:front.1.25,ΔΙΚΑΙΑ,274,4,urn:cite:phoros:places.51,300,same,0
urn:cite:phoros:payrec.275,urn:cts:phoros:stele1.year4:front.1.26,ΟΛΟΦΥΧΣΙΟΙ,275,4,urn:cite:phoros:places.15,200,same,0
urn:cite:phoros:payrec.276,urn:cts:phoros:stele1.year4:front.1.27,ΔΙΕΣ,276,4,urn:cite:phoros:places.16,600,same,0
urn:cite:phoros:payrec.277,urn:cts:phoros:stele1.year4:front.1.28,ΔΙΕΣ,277,4,urn:cite:phoros:places.16,100,down,500
urn:cite:phoros:payrec.278,urn:cts:phoros:stele1.year4:front.1.29,ΚΟ ΔΑΠΕΣ,278,4,urn:cite:phoros:places.90,100,same,0
urn:cite:phoros:payrec.279,urn:cts:phoros:stele1.year4:front.1.30,ΠΕΔΑΣΕΣ,279,4,urn:cite:phoros:places.100,1200,same,0
urn:cite:phoros:payrec.280,urn:cts:phoros:stele1.year4:front.1.31,ΗΑΛΙΚΑΡΝΑΣΙΟΙ,280,4,urn:cite:phoros:places.38,1000,same,0
urn:cite:phoros:payrec.281,urn:cts:phoros:stele1.year4:front.1.32,ΚΥΛΛΑΝΤΙΟΙ,281,4,urn:cite:phoros:places.67,1200,same,0
urn:cite:phoros:payrec.282,urn:cts:phoros:stele1.year4:front.1.33,ΚΥΡΒΙΣΣΕΣ,282,4,urn:cite:phoros:places.41,200,same,0
urn:cite:phoros:payrec.283,urn:cts:phoros:stele1.year4:front.2.2,ΘΕΡΜΑΙΟΙ,283,4,urn:cite:phoros:places.8,300,up,250
urn:cite:phoros:payrec.284,urn:cts:phoros:stele1.year4:front.2.3,ΕΧΣΙΚΑΡΟ,284,4,urn:cite:phoros:places.8,,,
urn:cite:phoros:payrec.285,urn:cts:phoros:stele1.year4:front.2.4,ΚΑΡΒΑΣΥΑΝΔΕΣ,285,4,urn:cite:phoros:places.46,100,same,0
urn:cite:phoros:payrec.286,urn:cts:phoros:stele1.year4:front.2.5,ΚΡΥΕΣ,286,4,urn:cite:phoros:places.21,200,same,0
urn:cite:phoros:payrec.287,urn:cts:phoros:stele1.year4:front.2.6,ΑΥΛΕΑΤΑΙ,287,4,urn:cite:phoros:places.76,50,same,0
urn:cite:phoros:payrec.288,urn:cts:phoros:stele1.year4:front.2.7,ΚΛΑΖΟΜΕΝΙΟ Ι,288,4,urn:cite:phoros:places.44,900,same,0
urn:cite:phoros:payrec.289,urn:cts:phoros:stele1.year4:front.2.8,ΠΑΡΠΑΡΙΟΤΑΙ,289,4,urn:cite:phoros:places.151,100,same,0
urn:cite:phoros:payrec.290,urn:cts:phoros:stele1.year4:front.2.9,ΟΙΝΑΙΟΙ,290,4,urn:cite:phoros:places.34,800,same,0
urn:cite:phoros:payrec.291,urn:cts:phoros:stele1.year4:front.2.10,ΕΧΣΙΚΑΡΟ,291,4,urn:cite:phoros:places.34,,,
urn:cite:phoros:payrec.292,urn:cts:phoros:stele1.year4:front.2.11,ΤΕΡΜΕΡΕΣ,292,4,urn:cite:phoros:places.48,1500,same,0
urn:cite:phoros:payrec.293,urn:cts:phoros:stele1.year4:front.2.12,ΤΕΙΟΙ,293,4,urn:cite:phoros:places.152,3600,same,0
urn:cite:phoros:payrec.294,urn:cts:phoros:stele1.year4:front.2.13,ΦΟΚΑΙΕΣ,294,4,urn:cite:phoros:places.148,1800,up,1700
urn:cite:phoros:payrec.295,urn:cts:phoros:stele1.year4:front.2.14,ΠΑΛΑΙΠΕΡΚΟΣΙΟΙ,295,4,urn:cite:phoros:places.153,100,same,0
urn:cite:phoros:payrec.296,urn:cts:phoros:stele1.year4:front.2.15,ΚΑΜΕΡΕΣ,296,4,urn:cite:phoros:places.20,5400,same,0
urn:cite:phoros:payrec.297,urn:cts:phoros:stele1.year4:front.2.16,ΛΑΤΜΙΟΙ,297,4,urn:cite:phoros:places.99,600,same,0
urn:cite:phoros:payrec.298,urn:cts:phoros:stele1.year4:front.2.26,ΣΙΝΓΙΟΙ,298,4,urn:cite:phoros:places.60,2400,same,0
urn:cite:phoros:payrec.299,urn:cts:phoros:stele1.year4:front.2.27,ΜΑΡΟΝΙΤΑΙ,299,4,urn:cite:phoros:places.32,300,down,600
urn:cite:phoros:payrec.300,urn:cts:phoros:stele1.year4:front.2.28,ΣΕΡΜΥΛΙΕΣ,300,4,urn:cite:phoros:places.56,3550,down,1082
urn:cite:phoros:payrec.301,urn:cts:phoros:stele1.year4:front.2.29,ΘΥΣΙΟΙ,301,4,urn:cite:phoros:places.12,400,same,0
urn:cite:phoros:payrec.302,urn:cts:phoros:stele1.year4:front.2.30,ΚΥΜΑΙΟΙ,302,4,urn:cite:phoros:places.136,7200,same,0
urn:cite:phoros:payrec.303,urn:cts:phoros:stele1.year4:front.2.31,ΚΑΛΥΔ ΝΙΟΙ,303,4,urn:cite:phoros:places.109,900,same,0
urn:cite:phoros:payrec.304,urn:cts:phoros:stele1.year4:front.2.32,ΛΕΒΕ ΔΙΟΙ,304,4,3,1800,same,0
urn:cite:phoros:payrec.305,urn:cts:phoros:stele1.year4:front.2.33,ΠΟΛΙΧΝΑΙΟΙ ΚΑΡΕΣ,305,4,urn:cite:phoros:places.154,100,same,0
urn:cite:phoros:payrec.306,urn:cts:phoros:stele1.year4:front.3.22,ΑΣΣΕΡΙΤΑΙ,306,4,urn:cite:phoros:places.55,2400,same,0
urn:cite:phoros:payrec.307,urn:cts:phoros:stele1.year4:front.3.23,ΠΑΣΑΝΔΕΣ,307,4,urn:cite:phoros:places.155,300,same,0
urn:cite:phoros:payrec.308,urn:cts:phoros:stele1.year4:front.3.24,ΠΙΤΑΝΑΙΟΙ,308,4,urn:cite:phoros:places.11,100,same,0
urn:cite:phoros:payrec.309,urn:cts:phoros:stele1.year4:front.3.25,ΒΑΡΓΥΛΙΕΣ,309,4,urn:cite:phoros:places.103,100,same,0
urn:cite:phoros:payrec.310,urn:cts:phoros:stele1.year4:front.3.26,ΜΥΝΔΙΟΙ,310,4,urn:cite:phoros:places.96,50,same,0
urn:cite:phoros:payrec.311,urn:cts:phoros:stele1.year4:front.3.27,ΣΑΜΟΘΡΑΙΚΕΣ,311,4,urn:cite:phoros:places.93,3600,up,1800
urn:cite:phoros:payrec.312,urn:cts:phoros:stele1.year4:front.3.28,ΣΤΟΛΙΟΙ,312,4,urn:cite:phoros:places.58,,,
urn:cite:phoros:payrec.313,urn:cts:phoros:stele1.year4:front.3.29,ΦΕΓΕΤΙΟΙ,313,4,urn:cite:phoros:places.156,160,same,0
urn:cite:phoros:payrec.314,urn:cts:phoros:stele1.year4:front.4.2,ΙΚΙΟΙ,314,4,urn:cite:phoros:places.157,150,same,0
urn:cite:phoros:payrec.315,urn:cts:phoros:stele1.year4:front.4.3,ΠΕΠΑΡΕΘΙΟΙ,315,4,urn:cite:phoros:places.22,1800,same,0
urn:cite:phoros:payrec.316,urn:cts:phoros:stele1.year4:front.4.4,ΘΑΣΙΟΙ,316,4,urn:cite:phoros:places.61,1800,same,0
urn:cite:phoros:payrec.317,urn:cts:phoros:stele1.year4:front.4.5,ΛΑΜΦΣΑΚΕΝΟΙ,317,4,urn:cite:phoros:places.95,7200,same,0
urn:cite:phoros:payrec.318,urn:cts:phoros:stele1.year4:front.4.6,ΝΟΤΙΕΣ,318,4,urn:cite:phoros:places.24,200,same,0
urn:cite:phoros:payrec.319,urn:cts:phoros:stele1.year4:front.4.7,ΕΛΑΥΤΑΙ,319,4,urn:cite:phoros:places.3,100,same,0
urn:cite:phoros:payrec.320,urn:cts:phoros:stele1.year4:front.4.8,ΠΑΙΣΕΝΟΙ,320,4,urn:cite:phoros:places.116,100,same,0
urn:cite:phoros:payrec.321,urn:cts:phoros:stele1.year4:front.4.9,ΠΕΡΚΟΣΙΟΙ,321,4,urn:cite:phoros:places.123,100,same,0
urn:cite:phoros:payrec.322,urn:cts:phoros:stele1.year4:front.4.10,ΔΑΡΔΑΝΕΣ,322,4,urn:cite:phoros:places.158,900,same,0
urn:cite:phoros:payrec.323,urn:cts:phoros:stele1.year4:front.4.11,ΚΟΛΟΦΟΝΙΟΙ,323,4,urn:cite:phoros:places.23,1800,same,0
urn:cite:phoros:payrec.324,urn:cts:phoros:stele1.year4:front.4.12,ΑΙΝΙΑΤΑΙ,324,4,urn:cite:phoros:places.5,1800,down,5400
urn:cite:phoros:payrec.325,urn:cts:phoros:stele1.year4:front.4.13,ΝΑΧΣΙΑΤΑΙ,325,4,urn:cite:phoros:places.6,100,same,0
urn:cite:phoros:payrec.326,urn:cts:phoros:stele1.year4:front.4.14,ΣΕΛΥΝ ΒΡΙΑΝΙΟΙ,326,4,urn:cite:phoros:places.159,3600,same,0
urn:cite:phoros:payrec.327,urn:cts:phoros:stele1.year4:front.4.15,ΚΟΙΟΙ,327,4,urn:cite:phoros:places.160,3000,same,0
urn:cite:phoros:payrec.328,urn:cts:phoros:stele1.year4:front.4.16,ΟΛΥΝΘΙΟΙ,328,4,urn:cite:phoros:places.53,1200,same,0
urn:cite:phoros:payrec.329,urn:cts:phoros:stele1.year4:front.4.17,ΣΚΑΒΛΑΙΟΙ,329,4,urn:cite:phoros:places.54,300,same,0
urn:cite:phoros:payrec.330,urn:cts:phoros:stele1.year4:front.4.18,ΣΤΡΕΦΣΑΙΟΙ,330,4,urn:cite:phoros:places.39,600,same,0
urn:cite:phoros:payrec.331,urn:cts:phoros:stele1.year4:front.4.19,ΗΥΜΙΣΣΕΣ,331,4,urn:cite:phoros:places.161,120,same,0
urn:cite:phoros:payrec.332,urn:cts:phoros:stele1.year4:front.4.20,ΠΑΚΤΥΕΣ,332,4,urn:cite:phoros:places.86,,,
urn:cite:phoros:payrec.333,urn:cts:phoros:stele1.year4:front.4.21,ΕΣΣΙΟΙ,333,4,urn:cite:phoros:places.35,600,same,0
urn:cite:phoros:payrec.334,urn:cts:phoros:stele1.year4:front.4.22,ΝΕΑΝΔΡΕΙΑ,334,4,urn:cite:phoros:places.36,200,same,0
urn:cite:phoros:payrec.335,urn:cts:phoros:stele1.year4:front.4.23,ΛΑΜΠΟΝΕΣ,335,4,urn:cite:phoros:places.37,100,same,0
urn:cite:phoros:payrec.336,urn:cts:phoros:stele1.year4:front.4.24,ΒΕΡΓΑΙΟΙ,336,4,urn:cite:phoros:places.133,,,
urn:cite:phoros:payrec.337,urn:cts:phoros:stele1.year4:front.4.25,ΑΒΥΔΕΝΟΙ,337,4,urn:cite:phoros:places.19,,,
urn:cite:phoros:payrec.338,urn:cts:phoros:stele1.year4:front.4.26,ΚΕΡΑΜΕΣ,338,4,urn:cite:phoros:places.65,900,same,0
urn:cite:phoros:payrec.339,urn:cts:phoros:stele1.year4:front.4.27,ΑΙΣΟΝ,339,4,urn:cite:phoros:places.162,150,same,0
urn:cite:phoros:payrec.340,urn:cts:phoros:stele1.year4:front.4.28,ΝΑΡΙΣΒΑΡΕΣ,340,4,urn:cite:phoros:places.70,100,same,0
urn:cite:phoros:payrec.341,urn:cts:phoros:stele1.year4:front.4.29,ΘΑΣΘΑΡΕΣ,341,4,urn:cite:phoros:places.163,50,same,0
urn:cite:phoros:payrec.342,urn:cts:phoros:stele1.year4:front.4.30,ΜΥΡΙΝΑΙΟΙ,342,4,urn:cite:phoros:places.120,600,same,0
urn:cite:phoros:payrec.343,urn:cts:phoros:stele1.year4:front.4.32,ΑΖΕΙΟΙ,343,4,urn:cite:phoros:places.132,40,same,0
