Payment,TextPassage,TextContent,Sequence,Year,Place,Obols,ChangeStatus,ChangeAmount
urn:cite:phoros:payrec.40,urn:cts:phoros:stele1.year1:front.4.11,ΛΑΜΠΟΝΕΙΑ,40,1,urn:cite:phoros:places.37,100,same,0
urn:cite:phoros:payrec.41,urn:cts:phoros:stele1.year1:front.4.12,ΗΑΛΙΚΑΡ,41,1,urn:cite:phoros:places.38,,,
urn:cite:phoros:payrec.42,urn:cts:phoros:stele1.year1:front.4.13,ΝΑΣΣΕΣ,42,1,urn:cite:phoros:places.38,1000,same,0
urn:cite:phoros:payrec.43,urn:cts:phoros:stele1.year1:front.4.14,ΣΤΡΕΦΣΑΙΟΙ,43,1,urn:cite:phoros:places.39,600,same,0
urn:cite:phoros:payrec.44,urn:cts:phoros:stele1.year1:front.4.15,ΠΑΛΕΦΣΙΟΙ,44,1,urn:cite:phoros:places.40,900,same,0
urn:cite:phoros:payrec.45,urn:cts:phoros:stele1.year1:front.4.16,ΚΥΡΒΙΣΣΟΣ,45,1,urn:cite:phoros:places.41,200,same,0
urn:cite:phoros:payrec.46,urn:cts:phoros:stele1.year1:front.4.17,ΔΙΔΥΜΟΤΕΙ,46,1,urn:cite:phoros:places.42,,,
urn:cite:phoros:payrec.47,urn:cts:phoros:stele1.year1:front.4.18,ΧΙΤΑΙ,47,1,urn:cite:phoros:places.42,100,same,0
urn:cite:phoros:payrec.48,urn:cts:phoros:stele1.year1:front.4.19,Δ ΙΚΑΙΟΠΟ,48,1,urn:cite:phoros:places.43,,,
urn:cite:phoros:payrec.49,urn:cts:phoros:stele1.year1:front.4.20,ΛΙΤΑΙ,49,1,urn:cite:phoros:places.43,2400,same,0
urn:cite:phoros:payrec.50,urn:cts:phoros:stele1.year1:front.4.21,ΚΛΑΖΟΜΕΝΙΟΙ,50,1,urn:cite:phoros:places.44,900,same,0
urn:cite:phoros:payrec.51,urn:cts:phoros:stele1.year1:front.4.22, ΑΡΓΙΛΙΟΙ,51,1,urn:cite:phoros:places.45,900,same,0
urn:cite:phoros:payrec.52,urn:cts:phoros:stele1.year1:front.4.23,ΚΑΡΒΑΣΥΑΝΔΕΣ,52,1,urn:cite:phoros:places.46,100,same,0
urn:cite:phoros:payrec.53,urn:cts:phoros:stele1.year1:front.4.24,ΦΑΣΕΛΙΤΑΙ,53,1,urn:cite:phoros:places.47,3600,same,0
urn:cite:phoros:payrec.54,urn:cts:phoros:stele1.year1:front.4.25,ΤΕΡΜΕΡΕΣ,54,1,urn:cite:phoros:places.48,1500,same,0
urn:cite:phoros:payrec.55,urn:cts:phoros:stele1.year1:front.4.26,ΚΕΒΡΕΝΙΟΙ,55,1,urn:cite:phoros:places.49,1800,same,0
urn:cite:phoros:payrec.56,urn:cts:phoros:stele1.year1:front.4.27,ΚΑΣΟΛΑΒΕΣ,56,1,urn:cite:phoros:places.50,250,same,0
urn:cite:phoros:payrec.57,urn:cts:phoros:stele1.year1:front.4.28,ΔΙΚΑΙΑ,57,1,urn:cite:phoros:places.51,,,
urn:cite:phoros:payrec.58,urn:cts:phoros:stele1.year1:front.4.29,ΠΑΡ ΑΒΔΕΡΑ,58,1,urn:cite:phoros:places.51,300,same,0
urn:cite:phoros:payrec.59,urn:cts:phoros:stele1.year1:front.5.5,ΗΑΒΔΕΡΙ ΤΑΙ,59,1,urn:cite:phoros:places.52,7712,same,0
