Record,Year,Source,Place,Obols
urn:cite:phoros:payments.354,urn:cite:phoros:documents.stele1_year5,urn:cts:phoros:stele1.year5.hc:front.3.15,urn:cite:phoros:places.57,600
urn:cite:phoros:payments.355,urn:cite:phoros:documents.stele1_year5,urn:cts:phoros:stele1.year5.hc:front.3.16,urn:cite:phoros:places.54,300
urn:cite:phoros:payments.356,urn:cite:phoros:documents.stele1_year5,urn:cts:phoros:stele1.year5.hc:front.3.17,urn:cite:phoros:places.55,2400
urn:cite:phoros:payments.357,urn:cite:phoros:documents.stele1_year5,urn:cts:phoros:stele1.year5.hc:front.3.18,urn:cite:phoros:places.156,160
urn:cite:phoros:payments.358,urn:cite:phoros:documents.stele1_year5,urn:cts:phoros:stele1.year5.hc:front.3.19,urn:cite:phoros:places.51,300
urn:cite:phoros:payments.359,urn:cite:phoros:documents.stele1_year5,urn:cts:phoros:stele1.year5.hc:front.3.21,urn:cite:phoros:places.52,9000
urn:cite:phoros:payments.360,urn:cite:phoros:documents.stele1_year5,urn:cts:phoros:stele1.year5.hc:front.3.22,urn:cite:phoros:places.32,900
urn:cite:phoros:payments.361,urn:cite:phoros:documents.stele1_year5,urn:cts:phoros:stele1.year5.hc:front.3.23,urn:cite:phoros:places.12,900
urn:cite:phoros:payments.362,urn:cite:phoros:documents.stele1_year5,urn:cts:phoros:stele1.year5.hc:front.3.24,urn:cite:phoros:places.5,7200
urn:cite:phoros:payments.363,urn:cite:phoros:documents.stele1_year5,urn:cts:phoros:stele1.year5.hc:front.3.25,urn:cite:phoros:places.93,3600
urn:cite:phoros:payments.364,urn:cite:phoros:documents.stele1_year5,urn:cts:phoros:stele1.year5.hc:front.3.26,,300
urn:cite:phoros:payments.365,urn:cite:phoros:documents.stele1_year5,urn:cts:phoros:stele1.year5.hc:front.3.28,urn:cite:phoros:places.75,100
urn:cite:phoros:payments.366,urn:cite:phoros:documents.stele1_year5,urn:cts:phoros:stele1.year5.hc:front.3.30,urn:cite:phoros:places.53,1200
urn:cite:phoros:payments.367,urn:cite:phoros:documents.stele1_year5,urn:cts:phoros:stele1.year5.hc:front.3.31,urn:cite:phoros:places.39,600
urn:cite:phoros:payments.368,urn:cite:phoros:documents.stele1_year5,urn:cts:phoros:stele1.year5.hc:front.3.32,urn:cite:phoros:places.162,150
urn:cite:phoros:payments.369,urn:cite:phoros:documents.stele1_year5,urn:cts:phoros:stele1.year5.hc:front.3.33,urn:cite:phoros:places.158,100
urn:cite:phoros:payments.370,urn:cite:phoros:documents.stele1_year5,urn:cts:phoros:stele1.year5.hc:front.3.34,urn:cite:phoros:places.184,3000
urn:cite:phoros:payments.371,urn:cite:phoros:documents.stele1_year5,urn:cts:phoros:stele1.year5.hc:front.3.35,urn:cite:phoros:places.48,1500
urn:cite:phoros:payments.372,urn:cite:phoros:documents.stele1_year5,urn:cts:phoros:stele1.year5.hc:front.3.36,urn:cite:phoros:places.185,100
urn:cite:phoros:payments.373,urn:cite:phoros:documents.stele1_year5,urn:cts:phoros:stele1.year5.hc:front.3.37,urn:cite:phoros:places.137,2293
urn:cite:phoros:payments.374,urn:cite:phoros:documents.stele1_year5,urn:cts:phoros:stele1.year5.hc:front.3.38,urn:cite:phoros:places.186,50
urn:cite:phoros:payments.375,urn:cite:phoros:documents.stele1_year5,urn:cts:phoros:stele1.year5.hc:front.3.39,urn:cite:phoros:places.107,1728
urn:cite:phoros:payments.376,urn:cite:phoros:documents.stele1_year5,urn:cts:phoros:stele1.year5.hc:front.3.40,urn:cite:phoros:places.187,100
urn:cite:phoros:payments.377,urn:cite:phoros:documents.stele1_year5,urn:cts:phoros:stele1.year5.hc:front.3.41,urn:cite:phoros:places.131,100
urn:cite:phoros:payments.378,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.1.2,urn:cite:phoros:places.70,100
urn:cite:phoros:payments.379,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.1.3,urn:cite:phoros:places.107,
urn:cite:phoros:payments.380,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.1.4,urn:cite:phoros:places.186,50
urn:cite:phoros:payments.381,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.1.5,urn:cite:phoros:places.1,100
urn:cite:phoros:payments.382,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.1.6,urn:cite:phoros:places.65,900
urn:cite:phoros:payments.383,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.1.7,urn:cite:phoros:places.20,4500
urn:cite:phoros:payments.384,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.1.8,urn:cite:phoros:places.38,1200
urn:cite:phoros:payments.385,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.1.9,urn:cite:phoros:places.120,600
urn:cite:phoros:payments.386,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.1.10,urn:cite:phoros:places.57,600
urn:cite:phoros:payments.387,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.1.11,urn:cite:phoros:places.202,200
urn:cite:phoros:payments.388,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.1.12,urn:cite:phoros:places.100,600
urn:cite:phoros:payments.389,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.1.13,urn:cite:phoros:places.136,5400
urn:cite:phoros:payments.390,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.1.14,urn:cite:phoros:places.11,100
urn:cite:phoros:payments.391,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.1.15,urn:cite:phoros:places.97,100
urn:cite:phoros:payments.392,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.1.16,urn:cite:phoros:places.164,1800
urn:cite:phoros:payments.393,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.1.17,urn:cite:phoros:places.126,100
urn:cite:phoros:payments.394,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.1.18,urn:cite:phoros:places.30,100
urn:cite:phoros:payments.395,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.1.19,urn:cite:phoros:places.67,1200
urn:cite:phoros:payments.396,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.1.20,urn:cite:phoros:places.41,100
urn:cite:phoros:payments.397,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.1.21,urn:cite:phoros:places.68,100
urn:cite:phoros:payments.398,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.1.22,urn:cite:phoros:places.105,1800
urn:cite:phoros:payments.399,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.1.23,urn:cite:phoros:places.203,600
urn:cite:phoros:payments.400,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.1.24,urn:cite:phoros:places.48,1500
urn:cite:phoros:payments.401,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.1.25,urn:cite:phoros:places.204,520
urn:cite:phoros:payments.402,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.1.26,urn:cite:phoros:places.32,900
urn:cite:phoros:payments.403,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.1.27,urn:cite:phoros:places.8,300
urn:cite:phoros:payments.404,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.1.28,urn:cite:phoros:places.34,600
urn:cite:phoros:payments.405,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.1.29,urn:cite:phoros:places.175,300
urn:cite:phoros:payments.406,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.1.30,,
urn:cite:phoros:payments.407,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.1.31,urn:cite:phoros:places.174,1800
urn:cite:phoros:payments.408,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.1.33,urn:cite:phoros:places.182,1800
urn:cite:phoros:payments.409,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.1.34,urn:cite:phoros:places.162,150
urn:cite:phoros:payments.410,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.1.35,urn:cite:phoros:places.43,600
urn:cite:phoros:payments.411,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.1.36,urn:cite:phoros:places.5,7200
urn:cite:phoros:payments.412,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.1.37,urn:cite:phoros:places.110,300
urn:cite:phoros:payments.413,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.2.2,urn:cite:phoros:places.6,50
urn:cite:phoros:payments.414,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.2.3,urn:cite:phoros:places.163,50
urn:cite:phoros:payments.415,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.2.4,urn:cite:phoros:places.71,150
urn:cite:phoros:payments.416,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.2.5,urn:cite:phoros:places.173,300
urn:cite:phoros:payments.417,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.2.6,urn:cite:phoros:places.46,100
urn:cite:phoros:payments.418,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.2.7,urn:cite:phoros:places.76,50
urn:cite:phoros:payments.419,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.2.8,urn:cite:phoros:places.21,200
urn:cite:phoros:payments.420,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.2.9,urn:cite:phoros:places.2,100
urn:cite:phoros:payments.421,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.2.10,urn:cite:phoros:places.96,50
urn:cite:phoros:payments.422,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.2.11,urn:cite:phoros:places.33,6000
urn:cite:phoros:payments.423,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.2.12,urn:cite:phoros:places.205,200
urn:cite:phoros:payments.424,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.2.13,urn:cite:phoros:places.12,900
urn:cite:phoros:payments.425,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.2.16,urn:cite:phoros:places.14,200
urn:cite:phoros:payments.426,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.2.17,urn:cite:phoros:places.135,100
urn:cite:phoros:payments.427,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.2.18,urn:cite:phoros:places.206,100
urn:cite:phoros:payments.428,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.2.20,urn:cite:phoros:places.49,1800
urn:cite:phoros:payments.429,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.2.21,urn:cite:phoros:places.90,100
urn:cite:phoros:payments.430,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.2.22,urn:cite:phoros:places.168,40
urn:cite:phoros:payments.431,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.2.23,urn:cite:phoros:places.25,100
urn:cite:phoros:payments.432,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.2.24,urn:cite:phoros:places.167,210
urn:cite:phoros:payments.433,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.2.25,urn:cite:phoros:places.15,150
urn:cite:phoros:payments.434,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.2.26,urn:cite:phoros:places.44,900
urn:cite:phoros:payments.435,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.2.27,urn:cite:phoros:places.52,8400
urn:cite:phoros:payments.436,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.2.28,urn:cite:phoros:places.109,900
urn:cite:phoros:payments.437,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.2.29,urn:cite:phoros:places.24,200
urn:cite:phoros:payments.438,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.2.30,urn:cite:phoros:places.118,450
urn:cite:phoros:payments.439,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.2.31,urn:cite:phoros:places.47,1800
urn:cite:phoros:payments.440,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.2.32,urn:cite:phoros:places.16,600
urn:cite:phoros:payments.441,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.2.33,urn:cite:phoros:places.125,3000
urn:cite:phoros:payments.442,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.2.34,urn:cite:phoros:places.26,1200
urn:cite:phoros:payments.443,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.2.35,urn:cite:phoros:places.39,600
urn:cite:phoros:payments.444,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.2.36,urn:cite:phoros:places.64,50
urn:cite:phoros:payments.445,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.2.37,urn:cite:phoros:places.128,6000
urn:cite:phoros:payments.446,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.2.38,urn:cite:phoros:places.92,1200
urn:cite:phoros:payments.447,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.3.2,urn:cite:phoros:places.58,500
urn:cite:phoros:payments.448,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.3.3,urn:cite:phoros:places.207,50
urn:cite:phoros:payments.449,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.3.4,urn:cite:phoros:places.148,30
urn:cite:phoros:payments.450,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.3.5,urn:cite:phoros:places.127,50
urn:cite:phoros:payments.451,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.3.6,urn:cite:phoros:places.196,100
urn:cite:phoros:payments.452,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.3.7,urn:cite:phoros:places.153,50
urn:cite:phoros:payments.453,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.3.8,urn:cite:phoros:places.208,900
urn:cite:phoros:payments.454,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.3.9,urn:cite:phoros:places.138,1800
urn:cite:phoros:payments.455,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.3.10,urn:cite:phoros:places.160,2136
urn:cite:phoros:payments.456,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.3.11,urn:cite:phoros:places.103,100
urn:cite:phoros:payments.457,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.3.12,urn:cite:phoros:places.93,3600
urn:cite:phoros:payments.458,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.3.13,urn:cite:phoros:places.55,2400
urn:cite:phoros:payments.459,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.3.14,urn:cite:phoros:places.51,300
urn:cite:phoros:payments.460,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.3.15,urn:cite:phoros:places.16,200
urn:cite:phoros:payments.461,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.3.16,urn:cite:phoros:places.209,100
urn:cite:phoros:payments.462,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.3.17,urn:cite:phoros:places.210,50
urn:cite:phoros:payments.463,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.3.18,urn:cite:phoros:places.72,100
urn:cite:phoros:payments.464,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.3.19,urn:cite:phoros:places.180,100
urn:cite:phoros:payments.465,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.3.20,urn:cite:phoros:places.161,120
urn:cite:phoros:payments.466,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.3.21,urn:cite:phoros:places.211,600
urn:cite:phoros:payments.467,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.3.22,urn:cite:phoros:places.27,1800
urn:cite:phoros:payments.468,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.3.23,urn:cite:phoros:places.192,9720
urn:cite:phoros:payments.469,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.3.24,urn:cite:phoros:places.130,100
urn:cite:phoros:payments.470,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.3.25,urn:cite:phoros:places.197,4000
urn:cite:phoros:payments.471,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.3.26,urn:cite:phoros:places.115,5400
urn:cite:phoros:payments.472,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.3.27,urn:cite:phoros:places.159,3600
urn:cite:phoros:payments.473,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.3.28,urn:cite:phoros:places.198,5400
urn:cite:phoros:payments.474,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.3.33,urn:cite:phoros:places.60,1200
urn:cite:phoros:payments.475,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.3.34,urn:cite:phoros:places.151,100
urn:cite:phoros:payments.476,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.3.35,urn:cite:phoros:places.131,100
urn:cite:phoros:payments.477,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.3.36,urn:cite:phoros:places.188,50
urn:cite:phoros:payments.478,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.3.37,urn:cite:phoros:places.157,150
urn:cite:phoros:payments.479,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.3.38,urn:cite:phoros:places.193,76
urn:cite:phoros:payments.480,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.3.39,urn:cite:phoros:places.213,30
urn:cite:phoros:payments.481,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.3.40,urn:cite:phoros:places.22,1800
urn:cite:phoros:payments.482,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.3.2,urn:cite:phoros:places.146,600
urn:cite:phoros:payments.483,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.3.3,urn:cite:phoros:places.95,520
urn:cite:phoros:payments.484,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.3.4,urn:cite:phoros:places.143,300
urn:cite:phoros:payments.485,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.3.5,urn:cite:phoros:places.190,1800
urn:cite:phoros:payments.486,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.3.6,urn:cite:phoros:places.152,3600
urn:cite:phoros:payments.487,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.3.7,urn:cite:phoros:places.145,3600
urn:cite:phoros:payments.488,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.3.8,urn:cite:phoros:places.114,900
urn:cite:phoros:payments.489,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.3.9,urn:cite:phoros:places.61,1470
urn:cite:phoros:payments.490,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.3.10,urn:cite:phoros:places.19,
urn:cite:phoros:payments.491,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.3.11,urn:cite:phoros:places.214,3600
urn:cite:phoros:payments.492,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.3.12,urn:cite:phoros:places.150,100
urn:cite:phoros:payments.493,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.3.13,urn:cite:phoros:places.191,1800
urn:cite:phoros:payments.494,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.3.14,urn:cite:phoros:places.42,100
urn:cite:phoros:payments.495,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.3.15,urn:cite:phoros:places.77,100
urn:cite:phoros:payments.496,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.3.16,urn:cite:phoros:places.13,4744
urn:cite:phoros:payments.497,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.3.17,urn:cite:phoros:places.158,100
urn:cite:phoros:payments.498,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.3.18,urn:cite:phoros:places.101,600
urn:cite:phoros:payments.499,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.3.19,urn:cite:phoros:places.195,600
urn:cite:phoros:payments.500,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.3.20,urn:cite:phoros:places.121,100
urn:cite:phoros:payments.501,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.3.21,urn:cite:phoros:places.75,100
urn:cite:phoros:payments.502,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.3.22,urn:cite:phoros:places.139,
urn:cite:phoros:payments.503,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.3.23,urn:cite:phoros:places.215,3000
urn:cite:phoros:payments.504,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.3.24,urn:cite:phoros:places.30,300
urn:cite:phoros:payments.505,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.3.25,urn:cite:phoros:places.37,100
urn:cite:phoros:payments.506,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.3.26,urn:cite:phoros:places.116,100
urn:cite:phoros:payments.507,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.3.27,urn:cite:phoros:places.123,100
urn:cite:phoros:payments.508,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.3.28,urn:cite:phoros:places.35,600
urn:cite:phoros:payments.509,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.3.31,urn:cite:phoros:places.83,150
urn:cite:phoros:payments.510,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.3.32,urn:cite:phoros:places.50,250
urn:cite:phoros:payments.511,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.3.33,urn:cite:phoros:places.156,160
urn:cite:phoros:payments.512,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.3.34,urn:cite:phoros:places.56,1800
urn:cite:phoros:payments.513,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.3.35,urn:cite:phoros:places.54,300
urn:cite:phoros:payments.514,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.3.36,urn:cite:phoros:places.112,9000
urn:cite:phoros:payments.515,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.3.37,urn:cite:phoros:places.194,1800
urn:cite:phoros:payments.516,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.3.38,urn:cite:phoros:places.149,3000
urn:cite:phoros:payments.517,urn:cite:phoros:documents.stele1_year7,urn:cts:phoros:stele1.year7.hc:front.3.39,urn:cite:phoros:places.166,2400
urn:cite:phoros:payments.518,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.1.4,urn:cite:phoros:places.70,100
urn:cite:phoros:payments.519,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.1.5,urn:cite:phoros:places.107,1728
urn:cite:phoros:payments.520,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.1.6,urn:cite:phoros:places.1,100
urn:cite:phoros:payments.521,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.1.7,urn:cite:phoros:places.186,50
urn:cite:phoros:payments.522,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.1.8,urn:cite:phoros:places.65,900
urn:cite:phoros:payments.523,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.1.9,urn:cite:phoros:places.20,5400
urn:cite:phoros:payments.524,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.1.10,urn:cite:phoros:places.38,1200
urn:cite:phoros:payments.525,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.1.11,urn:cite:phoros:places.120,600
urn:cite:phoros:payments.526,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.1.12,urn:cite:phoros:places.57,600
urn:cite:phoros:payments.527,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.1.13,urn:cite:phoros:places.202,200
urn:cite:phoros:payments.528,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.1.14,urn:cite:phoros:places.100,600
urn:cite:phoros:payments.529,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.1.15,urn:cite:phoros:places.136,2400
urn:cite:phoros:payments.530,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.1.16,urn:cite:phoros:places.11,100
urn:cite:phoros:payments.531,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.1.17,urn:cite:phoros:places.97,100
urn:cite:phoros:payments.532,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.1.18,urn:cite:phoros:places.164,1800
urn:cite:phoros:payments.533,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.1.19,urn:cite:phoros:places.126,100
urn:cite:phoros:payments.534,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.1.20,urn:cite:phoros:places.30,100
