Payment,TextPassage
urn:cite:phoros:payrec.85,urn:cts:phoros:stele1.year:front.5.14
urn:cite:phoros:payrec.86,urn:cts:phoros:stele1.year:front.5.15
urn:cite:phoros:payrec.87,urn:cts:phoros:stele1.year:front.5.16
urn:cite:phoros:payrec.88,urn:cts:phoros:stele1.year:front.5.17
urn:cite:phoros:payrec.89,urn:cts:phoros:stele1.year:front.5.18
urn:cite:phoros:payrec.90,urn:cts:phoros:stele1.year:front.5.19
urn:cite:phoros:payrec.91,urn:cts:phoros:stele1.year:front.5.20
urn:cite:phoros:payrec.92,urn:cts:phoros:stele1.year:front.5.21
urn:cite:phoros:payrec.93,urn:cts:phoros:stele1.year:front.6.5
urn:cite:phoros:payrec.94,urn:cts:phoros:stele1.year:front.6.6
urn:cite:phoros:payrec.95,urn:cts:phoros:stele1.year:front.6.7
urn:cite:phoros:payrec.96,urn:cts:phoros:stele1.year:front.6.7
urn:cite:phoros:payrec.97,urn:cts:phoros:stele1.year:front.6.9
urn:cite:phoros:payrec.98,urn:cts:phoros:stele1.year:front.6.10
urn:cite:phoros:payrec.99,urn:cts:phoros:stele1.year:front.6.11
urn:cite:phoros:payrec.100,urn:cts:phoros:stele1.year:front.6.12
urn:cite:phoros:payrec.101,urn:cts:phoros:stele1.year:front.6.13
urn:cite:phoros:payrec.102,urn:cts:phoros:stele1.year:front.6.14
urn:cite:phoros:payrec.103,urn:cts:phoros:stele1.year:front.6.15
urn:cite:phoros:payrec.104,urn:cts:phoros:stele1.year:front.6.16
urn:cite:phoros:payrec.105,urn:cts:phoros:stele1.year:front.6.17
urn:cite:phoros:payrec.106,urn:cts:phoros:stele1.year:front.6.18
urn:cite:phoros:payrec.107,urn:cts:phoros:stele1.year:front.6.19
urn:cite:phoros:payrec.108,urn:cts:phoros:stele1.year:front.6.20
urn:cite:phoros:payrec.109,urn:cts:phoros:stele1.year:front.6.21
urn:cite:phoros:payrec.110,urn:cts:phoros:stele1.year:
urn:cite:phoros:payrec.111,urn:cts:phoros:stele1.year:header.1.11
urn:cite:phoros:payrec.112,urn:cts:phoros:stele1.year:header.1.12
urn:cite:phoros:payrec.113,urn:cts:phoros:stele1.year:header.1.13
urn:cite:phoros:payrec.114,urn:cts:phoros:stele1.year:header.1.14
urn:cite:phoros:payrec.115,urn:cts:phoros:stele1.year:header.1.15
urn:cite:phoros:payrec.116,urn:cts:phoros:stele1.year:header.1.16
urn:cite:phoros:payrec.117,urn:cts:phoros:stele1.year:header.1.17
urn:cite:phoros:payrec.118,urn:cts:phoros:stele1.year:header.1.18
urn:cite:phoros:payrec.119,urn:cts:phoros:stele1.year:header.2.2
urn:cite:phoros:payrec.120,urn:cts:phoros:stele1.year:header.2.3
urn:cite:phoros:payrec.121,urn:cts:phoros:stele1.year:header.3.2
urn:cite:phoros:payrec.122,urn:cts:phoros:stele1.year:header.3.3
urn:cite:phoros:payrec.123,urn:cts:phoros:stele1.year:header.4.15
urn:cite:phoros:payrec.124,urn:cts:phoros:stele1.year:header.4.16
urn:cite:phoros:payrec.125,urn:cts:phoros:stele1.year:header.4.17
urn:cite:phoros:payrec.126,urn:cts:phoros:stele1.year:header.4.18
urn:cite:phoros:payrec.127,urn:cts:phoros:stele1.year:header.5.9
urn:cite:phoros:payrec.128,urn:cts:phoros:stele1.year:header.5.10
urn:cite:phoros:payrec.129,urn:cts:phoros:stele1.year:header.5.11
urn:cite:phoros:payrec.130,urn:cts:phoros:stele1.year:header.5.12
urn:cite:phoros:payrec.131,urn:cts:phoros:stele1.year:header.5.13
urn:cite:phoros:payrec.132,urn:cts:phoros:stele1.year:header.5.15
urn:cite:phoros:payrec.133,urn:cts:phoros:stele1.year:header.5.16
urn:cite:phoros:payrec.134,urn:cts:phoros:stele1.year:header.5.17
urn:cite:phoros:payrec.135,urn:cts:phoros:stele1.year:header.6.7
urn:cite:phoros:payrec.136,urn:cts:phoros:stele1.year:header.6.8
urn:cite:phoros:payrec.137,urn:cts:phoros:stele1.year:header.6.9
urn:cite:phoros:payrec.138,urn:cts:phoros:stele1.year:header.6.10
urn:cite:phoros:payrec.139,urn:cts:phoros:stele1.year:header.6.11
urn:cite:phoros:payrec.140,urn:cts:phoros:stele1.year:header.6.12
urn:cite:phoros:payrec.141,urn:cts:phoros:stele1.year:header.6.13
urn:cite:phoros:payrec.142,urn:cts:phoros:stele1.year:header.6.14
urn:cite:phoros:payrec.143,urn:cts:phoros:stele1.year:header.6.15
urn:cite:phoros:payrec.144,urn:cts:phoros:stele1.year:header.6.16
urn:cite:phoros:payrec.145,urn:cts:phoros:stele1.year:header.6.17
urn:cite:phoros:payrec.146,urn:cts:phoros:stele1.year:header.6.18
urn:cite:phoros:payrec.147,urn:cts:phoros:stele1.year:header.7.13
urn:cite:phoros:payrec.148,urn:cts:phoros:stele1.year:header.7.14
urn:cite:phoros:payrec.149,urn:cts:phoros:stele1.year:header.7.15
urn:cite:phoros:payrec.150,urn:cts:phoros:stele1.year:header.7.16
urn:cite:phoros:payrec.151,urn:cts:phoros:stele1.year:header.7.17
urn:cite:phoros:payrec.152,urn:cts:phoros:stele1.year:header.7.18
urn:cite:phoros:payrec.153,urn:cts:phoros:stele1.year:right.8.13
urn:cite:phoros:payrec.154,urn:cts:phoros:stele1.year:right.8.14
urn:cite:phoros:payrec.155,urn:cts:phoros:stele1.year:right.8.15
urn:cite:phoros:payrec.156,urn:cts:phoros:stele1.year:right.8.16
urn:cite:phoros:payrec.157,urn:cts:phoros:stele1.year:right.8.17
urn:cite:phoros:payrec.158,urn:cts:phoros:stele1.year:right.8.18
urn:cite:phoros:payrec.159,urn:cts:phoros:stele1.year:right.9.2
urn:cite:phoros:payrec.160,urn:cts:phoros:stele1.year:right.9.3
urn:cite:phoros:payrec.161,urn:cts:phoros:stele1.year:right.9.4
urn:cite:phoros:payrec.162,urn:cts:phoros:stele1.year:right.9.5
urn:cite:phoros:payrec.163,urn:cts:phoros:stele1.year:right.9.6
urn:cite:phoros:payrec.164,urn:cts:phoros:stele1.year:right.9.7
urn:cite:phoros:payrec.165,urn:cts:phoros:stele1.year:right.9.8
urn:cite:phoros:payrec.166,urn:cts:phoros:stele1.year:right.9.9
urn:cite:phoros:payrec.167,urn:cts:phoros:stele1.year:right.9.10
urn:cite:phoros:payrec.168,urn:cts:phoros:stele1.year:right.10.2
urn:cite:phoros:payrec.169,urn:cts:phoros:stele1.year:right.10.3
urn:cite:phoros:payrec.170,urn:cts:phoros:stele1.year:right.10.4
urn:cite:phoros:payrec.171,urn:cts:phoros:stele1.year:right.10.5
urn:cite:phoros:payrec.172,urn:cts:phoros:stele1.year:right.10.6
urn:cite:phoros:payrec.173,urn:cts:phoros:stele1.year:right.10.7
urn:cite:phoros:payrec.174,urn:cts:phoros:stele1.year:right.10.8
urn:cite:phoros:payrec.175,urn:cts:phoros:stele1.year:right.10.9
urn:cite:phoros:payrec.176,urn:cts:phoros:stele1.year:right.10.10
urn:cite:phoros:payrec.177,urn:cts:phoros:stele1.year:
urn:cite:phoros:payrec.178,urn:cts:phoros:stele1.year:front.1.2
urn:cite:phoros:payrec.179,urn:cts:phoros:stele1.year:front.1.3
urn:cite:phoros:payrec.180,urn:cts:phoros:stele1.year:front.1.4
urn:cite:phoros:payrec.181,urn:cts:phoros:stele1.year:front.1.5
urn:cite:phoros:payrec.182,urn:cts:phoros:stele1.year:front.1.6
urn:cite:phoros:payrec.183,urn:cts:phoros:stele1.year:front.1.7
urn:cite:phoros:payrec.184,urn:cts:phoros:stele1.year:front.1.8
urn:cite:phoros:payrec.185,urn:cts:phoros:stele1.year:front.1.9
urn:cite:phoros:payrec.186,urn:cts:phoros:stele1.year:front.1.10
urn:cite:phoros:payrec.187,urn:cts:phoros:stele1.year:front.1.11
urn:cite:phoros:payrec.188,urn:cts:phoros:stele1.year:front.1.12
urn:cite:phoros:payrec.189,urn:cts:phoros:stele1.year:front.1.13
urn:cite:phoros:payrec.190,urn:cts:phoros:stele1.year:front.1.14
urn:cite:phoros:payrec.191,urn:cts:phoros:stele1.year:front.1.15
urn:cite:phoros:payrec.192,urn:cts:phoros:stele1.year:front.1.16
urn:cite:phoros:payrec.193,urn:cts:phoros:stele1.year:front.1.17
urn:cite:phoros:payrec.194,urn:cts:phoros:stele1.year:front.1.29
urn:cite:phoros:payrec.195,urn:cts:phoros:stele1.year:front.1.30
urn:cite:phoros:payrec.196,urn:cts:phoros:stele1.year:front.1.31
urn:cite:phoros:payrec.197,urn:cts:phoros:stele1.year:front.1.32
urn:cite:phoros:payrec.198,urn:cts:phoros:stele1.year:front.2.2
urn:cite:phoros:payrec.199,urn:cts:phoros:stele1.year:front.2.3
urn:cite:phoros:payrec.200,urn:cts:phoros:stele1.year:front.2.4
urn:cite:phoros:payrec.201,urn:cts:phoros:stele1.year:front.2.5
urn:cite:phoros:payrec.202,urn:cts:phoros:stele1.year:front.2.6
urn:cite:phoros:payrec.203,urn:cts:phoros:stele1.year:front.2.7
urn:cite:phoros:payrec.204,urn:cts:phoros:stele1.year:front.2.8
urn:cite:phoros:payrec.205,urn:cts:phoros:stele1.year:front.2.9
urn:cite:phoros:payrec.206,urn:cts:phoros:stele1.year:front.2.10
urn:cite:phoros:payrec.207,urn:cts:phoros:stele1.year:front.2.11
urn:cite:phoros:payrec.208,urn:cts:phoros:stele1.year:front.2.12
urn:cite:phoros:payrec.209,urn:cts:phoros:stele1.year:front.2.28
urn:cite:phoros:payrec.210,urn:cts:phoros:stele1.year:front.2.29
urn:cite:phoros:payrec.211,urn:cts:phoros:stele1.year:front.2.30
urn:cite:phoros:payrec.212,urn:cts:phoros:stele1.year:front.2.31
urn:cite:phoros:payrec.213,urn:cts:phoros:stele1.year:front.3.2
urn:cite:phoros:payrec.214,urn:cts:phoros:stele1.year:front.3.3
urn:cite:phoros:payrec.215,urn:cts:phoros:stele1.year:front.3.4
urn:cite:phoros:payrec.216,urn:cts:phoros:stele1.year:front.3.5
urn:cite:phoros:payrec.217,urn:cts:phoros:stele1.year:front.3.6
urn:cite:phoros:payrec.218,urn:cts:phoros:stele1.year:front.3.7
urn:cite:phoros:payrec.219,urn:cts:phoros:stele1.year:front.3.8
urn:cite:phoros:payrec.220,urn:cts:phoros:stele1.year:front.3.9
urn:cite:phoros:payrec.221,urn:cts:phoros:stele1.year:front.3.10
urn:cite:phoros:payrec.222,urn:cts:phoros:stele1.year:front.3.11
urn:cite:phoros:payrec.223,urn:cts:phoros:stele1.year:front.3.24
urn:cite:phoros:payrec.224,urn:cts:phoros:stele1.year:front.3.25
urn:cite:phoros:payrec.225,urn:cts:phoros:stele1.year:front.3.26
