urn:cts:phoros:stele1.year1:front.6.13,urn:cite:phoros:places.76
urn:cts:phoros:stele1.year1:front.6.14,urn:cite:phoros:places.77
urn:cts:phoros:stele1.year1:front.6.15,urn:cite:phoros:places.78
urn:cts:phoros:stele1.year1:front.6.16,urn:cite:phoros:places.79
urn:cts:phoros:stele1.year1:front.6.17,urn:cite:phoros:places.79
urn:cts:phoros:stele1.year1:front.6.18,urn:cite:phoros:places.80
urn:cts:phoros:stele1.year1:front.6.19,urn:cite:phoros:places.81
urn:cts:phoros:stele1.year1:front.6.20,urn:cite:phoros:places.81
urn:cts:phoros:stele1.year1:front.6.22,urn:cite:phoros:places.82
urn:cts:phoros:stele1.year2:.1.11,urn:cite:phoros:places.69
urn:cts:phoros:stele1.year2:.1.12,urn:cite:phoros:places.83
urn:cts:phoros:stele1.year2:.1.13,urn:cite:phoros:places.84
urn:cts:phoros:stele1.year2:.1.14,urn:cite:phoros:places.85
urn:cts:phoros:stele1.year2:.1.15,urn:cite:phoros:places.86
urn:cts:phoros:stele1.year2:.1.16,urn:cite:phoros:places.87
urn:cts:phoros:stele1.year2:.1.17,urn:cite:phoros:places.88
urn:cts:phoros:stele1.year2:.1.18,urn:cite:phoros:places.89
urn:cts:phoros:stele1.year2:.2.2,urn:cite:phoros:places.90
urn:cts:phoros:stele1.year2:.3.2,urn:cite:phoros:places.56
urn:cts:phoros:stele1.year2:.4.15,urn:cite:phoros:places.91
urn:cts:phoros:stele1.year2:.4.16,urn:cite:phoros:places.80
urn:cts:phoros:stele1.year2:.4.17,urn:cite:phoros:places.9
urn:cts:phoros:stele1.year2:.4.18,urn:cite:phoros:places.10
urn:cts:phoros:stele1.year2:.5.11,urn:cite:phoros:places.92
urn:cts:phoros:stele1.year2:.5.12,urn:cite:phoros:places.93
urn:cts:phoros:stele1.year2:.5.15,urn:cite:phoros:places.94
urn:cts:phoros:stele1.year2:.5.16,urn:cite:phoros:places.95
urn:cts:phoros:stele1.year2:.6.7,urn:cite:phoros:places.34
urn:cts:phoros:stele1.year2:.6.8,urn:cite:phoros:places.34
urn:cts:phoros:stele1.year2:.6.9,urn:cite:phoros:places.23
urn:cts:phoros:stele1.year2:.6.10,urn:cite:phoros:places.24
urn:cts:phoros:stele1.year2:.6.11,urn:cite:phoros:places.25
urn:cts:phoros:stele1.year2:.6.12,urn:cite:phoros:places.4
urn:cts:phoros:stele1.year2:.6.13,urn:cite:phoros:places.77
urn:cts:phoros:stele1.year2:.6.14,urn:cite:phoros:places.5
urn:cts:phoros:stele1.year2:.6.15,urn:cite:phoros:places.96
urn:cts:phoros:stele1.year2:.6.16,urn:cite:phoros:places.76
urn:cts:phoros:stele1.year2:.6.17,urn:cite:phoros:places.46
urn:cts:phoros:stele1.year2:.6.18,urn:cite:phoros:places.32
urn:cts:phoros:stele1.year2:.7.15,urn:cite:phoros:places.97
urn:cts:phoros:stele1.year2:.7.16,urn:cite:phoros:places.11
urn:cts:phoros:stele1.year2:.7.17,urn:cite:phoros:places.29
urn:cts:phoros:stele1.year2:.7.18,urn:cite:phoros:places.26
urn:cts:phoros:stele1.year2:right.8.13,urn:cite:phoros:places.83
urn:cts:phoros:stele1.year2:right.8.14,urn:cite:phoros:places.50
urn:cts:phoros:stele1.year2:right.8.15,urn:cite:phoros:places.58
urn:cts:phoros:stele1.year2:right.8.16,urn:cite:phoros:places.59
urn:cts:phoros:stele1.year2:right.8.17,urn:cite:phoros:places.60
urn:cts:phoros:stele1.year2:right.8.18,urn:cite:phoros:places.14
urn:cts:phoros:stele1.year2:right.9.2,urn:cite:phoros:places.27
urn:cts:phoros:stele1.year2:right.9.3,urn:cite:phoros:places.30
urn:cts:phoros:stele1.year2:right.9.4,urn:cite:phoros:places.53
urn:cts:phoros:stele1.year2:right.9.5,urn:cite:phoros:places.57
urn:cts:phoros:stele1.year2:right.9.6,urn:cite:phoros:places.56
urn:cts:phoros:stele1.year2:right.9.7,urn:cite:phoros:places.40
urn:cts:phoros:stele1.year2:right.9.8,urn:cite:phoros:places.43
urn:cts:phoros:stele1.year2:right.9.9,urn:cite:phoros:places.44
urn:cts:phoros:stele1.year2:right.10.2,urn:cite:phoros:places.98
urn:cts:phoros:stele1.year2:right.10.3,urn:cite:phoros:places.99
urn:cts:phoros:stele1.year2:right.10.4,urn:cite:phoros:places.78
urn:cts:phoros:stele1.year2:right.10.5,urn:cite:phoros:places.66
urn:cts:phoros:stele1.year2:right.10.6,urn:cite:phoros:places.18
urn:cts:phoros:stele1.year2:right.10.7,urn:cite:phoros:places.100
urn:cts:phoros:stele1.year2:right.10.8,urn:cite:phoros:places.101
urn:cts:phoros:stele1.year2:right.10.9,urn:cite:phoros:places.102
urn:cts:phoros:stele1.year2:right.10.10,urn:cite:phoros:places.103
urn:cts:phoros:stele1.year2:right.10.11,urn:cite:phoros:places.42
urn:cts:phoros:stele1.year3:front.1.2,urn:cite:phoros:places.105
urn:cts:phoros:stele1.year3:front.1.3,urn:cite:phoros:places.106
urn:cts:phoros:stele1.year3:front.1.4,urn:cite:phoros:places.65
urn:cts:phoros:stele1.year3:front.1.5,urn:cite:phoros:places.71
urn:cts:phoros:stele1.year3:front.1.6,urn:cite:phoros:places.107
urn:cts:phoros:stele1.year3:front.1.7,urn:cite:phoros:places.40
urn:cts:phoros:stele1.year3:front.1.8,urn:cite:phoros:places.108
urn:cts:phoros:stele1.year3:front.1.9,urn:cite:phoros:places.47
urn:cts:phoros:stele1.year3:front.1.10,urn:cite:phoros:places.109
urn:cts:phoros:stele1.year3:front.1.11,urn:cite:phoros:places.44
urn:cts:phoros:stele1.year3:front.1.12,urn:cite:phoros:places.64
urn:cts:phoros:stele1.year3:front.1.13,urn:cite:phoros:places.77
urn:cts:phoros:stele1.year3:front.1.14,urn:cite:phoros:places.73
urn:cts:phoros:stele1.year3:front.1.15,urn:cite:phoros:places.51
urn:cts:phoros:stele1.year3:front.1.16,urn:cite:phoros:places.51
urn:cts:phoros:stele1.year3:front.1.17,urn:cite:phoros:places.92
urn:cts:phoros:stele1.year3:front.1.29,urn:cite:phoros:places.141
urn:cts:phoros:stele1.year3:front.1.30,urn:cite:phoros:places.142
