StoneURN,ImgURN
urn:cite:phoros:stones.atl52,"urn:cite:shotimg:atl.ATL001@0.6827,0.6544,0.0751,0.0772"
urn:cite:phoros:stones.atlb1,"urn:cite:shotimg:atl.ATLpl16@0.033,0.0932,0.035,0.1598"
urn:cite:phoros:stones.atlb10,"urn:cite:shotimg:atl.ATLpl16@0,0.4778,0.045,0.1775"
urn:cite:phoros:stones.atlb1,"urn:cite:shotimg:atl.ATLpl16@0.9279,0.1154,0.037,0.1391"
urn:cite:phoros:stones.atlb22,"urn:cite:shotimg:atl.ATLpl16@0.7778,0.3373,0.024,0.034"
urn:cite:phoros:stones.atlb54,"urn:cite:shotimg:atl.ATLpl16@0.7798,0.5947,0.02,0.0296"
urn:cite:phoros:stones.atlb10,"urn:cite:shotimg:atl.ATLpl16@0.9409,0.5562,0.0551,0.1109"
urn:cite:phoros:stones.atlb2,"urn:cite:shotimg:atl.ATLpl16@0.0631,0.1287,0.042,0.1124"
urn:cite:phoros:stones.atlb11,"urn:cite:shotimg:atl.ATLpl16@0,0.6376,0.023,0.0621"
urn:cite:phoros:stones.atlb63,"urn:cite:shotimg:atl.ATLpl16@0.951,0.1154,0.027,0.068"
urn:cite:phoros:stones.atlb24,"urn:cite:shotimg:atl.ATLpl16@0.7958,0.324,0.031,0.1006"
urn:cite:phoros:stones.atlb48,"urn:cite:shotimg:atl.ATLpl16@0.8839,0.5015,0.026,0.0488"
urn:cite:phoros:stones.atlb70,"urn:cite:shotimg:atl.ATLpl16@0.9379,0.6879,0.022,0.0562"
urn:cite:phoros:stones.atlb59,"urn:cite:shotimg:atl.ATLpl16@0.8298,0.6893,0.04,0.037"
urn:cite:phoros:stones.atlb9,"urn:cite:shotimg:atl.ATLpl16@0.019,0.2618,0.035,0.0947"
urn:cite:phoros:stones.atlb7,"urn:cite:shotimg:atl.ATLpl16@0.3894,0.2293,0.0611,0.0769"
urn:cite:phoros:stones.atlb65,"urn:cite:shotimg:atl.ATLpl16@0.9279,0.2515,0.047,0.0607"
urn:cite:phoros:stones.atlb31,"urn:cite:shotimg:atl.ATLpl16@0.7738,0.4482,0.031,0.037"
urn:cite:phoros:stones.atlb35,"urn:cite:shotimg:atl.ATLpl16@0.8709,0.4024,0.028,0.0222"
urn:cite:phoros:stones.atlb9,"urn:cite:shotimg:atl.ATLpl16@0.9409,0.3521,0.0511,0.1686"
urn:cite:phoros:stones.atlb47,"urn:cite:shotimg:atl.ATLpl16@0.8298,0.4423,0.1001,0.108"
urn:cite:phoros:stones.atlb41,"urn:cite:shotimg:atl.ATLpl16@0.7538,0.4778,0.03,0.0725"
urn:cite:phoros:stones.atlb12,"urn:cite:shotimg:atl.ATLpl16@0.3574,0.4393,0.0781,0.1065"
urn:cite:phoros:stones.atlb20,"urn:cite:shotimg:atl.ATLpl16@0.7317,0.2959,0.048,0.1006"
urn:cite:phoros:stones.atlb23,"urn:cite:shotimg:atl.ATLpl16@0.7998,0.324,0.031,0.0266"
urn:cite:phoros:stones.atlb29,"urn:cite:shotimg:atl.ATLpl16@0.7417,0.4083,0.034,0.0769"
urn:cite:phoros:stones.atlb71,"urn:cite:shotimg:atl.ATLpl16@0.4364,0.4349,0.034,0.0991"
urn:cite:phoros:stones.atlb21,"urn:cite:shotimg:atl.ATLpl16@0.7317,0.2959,0.048,0.1006"
urn:cite:phoros:stones.atlb45,"urn:cite:shotimg:atl.ATLpl16@0.8338,0.4793,0.034,0.0621"
urn:cite:phoros:stones.atlb66,"urn:cite:shotimg:atl.ATLpl16@0.9399,0.5133,0.025,0.0769"
urn:cite:phoros:stones.atlb72,"urn:cite:shotimg:atl.ATLpl16@0.4334,0.503,0.037,0.1139"
urn:cite:phoros:stones.atlb17,"urn:cite:shotimg:atl.ATLpl16@0.7598,0.2633,0.04,0.0873"
urn:cite:phoros:stones.atlb26,"urn:cite:shotimg:atl.ATLpl16@0.7788,0.3609,0.028,0.0754"
urn:cite:phoros:stones.atlb28,"urn:cite:shotimg:atl.ATLpl16@0.7267,0.3891,0.036,0.1317"
urn:cite:phoros:stones.atlb19,"urn:cite:shotimg:atl.ATLpl16@0.4635,0.4216,0.1111,0.0976"
urn:cite:phoros:stones.atlb16,"urn:cite:shotimg:atl.ATLpl16@0.7988,0.1849,0.0701,0.1627"
urn:cite:phoros:stones.atlb25,"urn:cite:shotimg:atl.ATLpl16@0.8078,0.3373,0.046,0.105"
urn:cite:phoros:stones.atlb69,"urn:cite:shotimg:atl.ATLpl16@0.9439,0.6627,0.024,0.0488"
urn:cite:phoros:stones.atlb61,"urn:cite:shotimg:atl.ATLpl16@0.8849,0.7263,0.034,0.0828"
urn:cite:phoros:stones.atlb67,"urn:cite:shotimg:atl.ATLpl16@0.9399,0.5118,0.0511,0.0547"
urn:cite:phoros:stones.atlb11,"urn:cite:shotimg:atl.ATLpl16@0.962,0.6627,0.029,0.0562"
urn:cite:phoros:stones.atlb57,"urn:cite:shotimg:atl.ATLpl16@0.7768,0.6124,0.0911,0.1331"
urn:cite:phoros:stones.atlb62,"urn:cite:shotimg:atl.ATLpl16@0.7558,0.8402,0.0521,0.0888"
urn:cite:phoros:stones.atlb68,"urn:cite:shotimg:atl.ATLpl16@0.9189,0.6257,0.025,0.0414"
urn:cite:phoros:stones.atlb60,"urn:cite:shotimg:atl.ATLpl16@0.8218,0.7115,0.1241,0.2115"
urn:cite:phoros:stones.atl1,"urn:cite:shotimg:atl.DSC_5231@0.005,0.2691,0.2082,0.3543"
urn:cite:phoros:stones.atl3,"urn:cite:shotimg:atl.DSC_5231@0.4925,0.284,0.2673,0.2436"
urn:cite:phoros:stones.atl6,"urn:cite:shotimg:atl.DSC_5231@0.2663,0.4783,0.3994,0.2048"
