StoneURN,ImgURN
urn:cite:phoros:stones.atl110,"urn:cite:shotimg:atl.ATL001@0.0571,0.4589,0.03,0.0319"
urn:cite:phoros:stones.atl129,"urn:cite:shotimg:atl.ATL001@0.1712,0.5914,0.0501,0.068"
urn:cite:phoros:stones.atl88,"urn:cite:shotimg:atl.ATL001@0.007,0.7089,0.0511,0.0654"
urn:cite:phoros:stones.atl144,"urn:cite:shotimg:atl.ATL001@0.023,0.7005,0.0501,0.0419"
urn:cite:phoros:stones.atl168,"urn:cite:shotimg:atl.ATL001@0.4054,0.3733,0.0651,0.0428"
urn:cite:phoros:stones.atl116,"urn:cite:shotimg:atl.ATL001@0.3554,0.4513,0.046,0.0302"
urn:cite:phoros:stones.atl57,"urn:cite:shotimg:atl.ATL001@0.3263,0.8859,0.0691,0.0847"
urn:cite:phoros:stones.atl16,"urn:cite:shotimg:atl.ATL001@0.5415,0.3045,0.0711,0.073"
urn:cite:phoros:stones.atl59,"urn:cite:shotimg:atl.ATL001@0.4565,0.7332,0.0681,0.0428"
urn:cite:phoros:stones.atl100,"urn:cite:shotimg:atl.ATL001@0.1141,0.3372,0.035,0.0319"
urn:cite:phoros:stones.atl111,"urn:cite:shotimg:atl.ATL001@0.0731,0.4413,0.1011,0.073"
urn:cite:phoros:stones.atl127,"urn:cite:shotimg:atl.ATL001@0.0541,0.6065,0.0861,0.0587"
urn:cite:phoros:stones.atl131,"urn:cite:shotimg:atl.ATL001@0.1712,0.5914,0.0501,0.068"
urn:cite:phoros:stones.atl169,"urn:cite:shotimg:atl.ATL001@0.4525,0.38,0.045,0.0336"
urn:cite:phoros:stones.atl1,"urn:cite:shotimg:atl.ATL001@0.4635,0.0109,0.1111,0.1116"
urn:cite:phoros:stones.atl35,"urn:cite:shotimg:atl.ATL001@0.5846,0.4664,0.0741,0.1133"
urn:cite:phoros:stones.atl61,"urn:cite:shotimg:atl.ATL001@0.4965,0.7483,0.042,0.0629"
urn:cite:phoros:stones.atl101,"urn:cite:shotimg:atl.ATL001@0.1191,0.3406,0.049,0.0478"
urn:cite:phoros:stones.atl112,"urn:cite:shotimg:atl.ATL001@0.1662,0.4656,0.045,0.0386"
urn:cite:phoros:stones.atl40,"urn:cite:shotimg:atl.ATL001@0.3473,0.6795,0.02,0.0369"
urn:cite:phoros:stones.atl151,"urn:cite:shotimg:atl.ATL001@0.0921,0.8045,0.032,0.0336"
urn:cite:phoros:stones.atl156,"urn:cite:shotimg:atl.ATL001@0.2923,0.828,0.045,0.068"
urn:cite:phoros:stones.atl160,"urn:cite:shotimg:atl.ATL001@0.4004,0.2584,0.038,0.031"
urn:cite:phoros:stones.atl165,"urn:cite:shotimg:atl.ATL001@0.4304,0.3406,0.039,0.0327"
urn:cite:phoros:stones.atl73,"urn:cite:shotimg:atl.ATL001@0.4234,0.5185,0.044,0.0537"
urn:cite:phoros:stones.atl136,"urn:cite:shotimg:atl.ATL001@0.3233,0.5713,0.1622,0.1242"
urn:cite:phoros:stones:atl178,"urn:cite:shotimg:atl.ATL001@0.3924,0.7785,0.0611,0.0629"
urn:cite:phoros:stones.atl15,"urn:cite:shotimg:atl.ATL001@0.4494,0.3003,0.1101,0.0864"
urn:cite:phoros:stones.atl30,"urn:cite:shotimg:atl.ATL001@0.5335,0.4631,0.0641,0.0713"
urn:cite:phoros:stones.atl57,"urn:cite:shotimg:atl.ATL001@0.4995,0.6703,0.039,0.0512"
urn:cite:phoros:stones.atl102,"urn:cite:shotimg:atl.ATL001@0.1542,0.3364,0.0731,0.0688"
urn:cite:phoros:stones.atl114,"urn:cite:shotimg:atl.ATL001@0.2112,0.4706,0.0761,0.0923"
urn:cite:phoros:stones.atl119,"urn:cite:shotimg:atl.ATL001@0.1191,0.5126,0.0501,0.026"
