urn:cts:phoros:stele1.year1:front.4.29,urn:cite:phoros:stones.atl6
urn:cts:phoros:stele1.year1:front.4.5,urn:cite:phoros:stones.atl3
urn:cts:phoros:stele1.year1:front.4.6,urn:cite:phoros:stones.atl3
urn:cts:phoros:stele1.year1:front.4.7,urn:cite:phoros:stones.atl3
urn:cts:phoros:stele1.year1:front.4.8,urn:cite:phoros:stones.atl3
urn:cts:phoros:stele1.year1:front.4.9,urn:cite:phoros:stones.atl3
urn:cts:phoros:stele1.year1:front.5.10,urn:cite:phoros:stones.atl3
urn:cts:phoros:stele1.year1:front.5.10,urn:cite:phoros:stones.atl4
urn:cts:phoros:stele1.year1:front.5.11,urn:cite:phoros:stones.atl3
urn:cts:phoros:stele1.year1:front.5.11,urn:cite:phoros:stones.atl4
urn:cts:phoros:stele1.year1:front.5.12,urn:cite:phoros:stones.atl3
urn:cts:phoros:stele1.year1:front.5.12,urn:cite:phoros:stones.atl4
urn:cts:phoros:stele1.year1:front.5.13,urn:cite:phoros:stones.atl3
urn:cts:phoros:stele1.year1:front.5.13,urn:cite:phoros:stones.atl4
urn:cts:phoros:stele1.year1:front.5.14,urn:cite:phoros:stones.atl3
urn:cts:phoros:stele1.year1:front.5.15,urn:cite:phoros:stones.atl3
urn:cts:phoros:stele1.year1:front.5.16,urn:cite:phoros:stones.atl3
urn:cts:phoros:stele1.year1:front.5.17,urn:cite:phoros:stones.atl3
urn:cts:phoros:stele1.year1:front.5.18,urn:cite:phoros:stones.atl3
urn:cts:phoros:stele1.year1:front.5.19,urn:cite:phoros:stones.atl3
urn:cts:phoros:stele1.year1:front.5.20,urn:cite:phoros:stones.atl3
urn:cts:phoros:stele1.year1:front.5.21,urn:cite:phoros:stones.atl3
urn:cts:phoros:stele1.year1:front.5.5,urn:cite:phoros:stones.atl3
urn:cts:phoros:stele1.year1:front.5.5,urn:cite:phoros:stones.atl4
urn:cts:phoros:stele1.year1:front.5.6,urn:cite:phoros:stones.atl3
urn:cts:phoros:stele1.year1:front.5.6,urn:cite:phoros:stones.atl4
urn:cts:phoros:stele1.year1:front.5.7,urn:cite:phoros:stones.atl3
urn:cts:phoros:stele1.year1:front.5.7,urn:cite:phoros:stones.atl4
urn:cts:phoros:stele1.year1:front.5.8,urn:cite:phoros:stones.atl3
urn:cts:phoros:stele1.year1:front.5.8,urn:cite:phoros:stones.atl4
urn:cts:phoros:stele1.year1:front.5.9,urn:cite:phoros:stones.atl3
urn:cts:phoros:stele1.year1:front.5.9,urn:cite:phoros:stones.atl4
urn:cts:phoros:stele1.year1:front.6.10,urn:cite:phoros:stones.atl4
